,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.43,1.61,1.45,1.92,1.69,1.4,0.36,0.35,0.4,0.65,0.38,0.65,0.31,0.2,0.33,0.3
e_1,0.9,0.43,2.05,1.91,1.91,2.36,0.49,0.38,0.38,0.63,0.37,0.46,0.36,0.25,0.88,0.28
d_1,2.18,2.14,0.4,1.99,1.66,1.59,0.53,0.3,0.81,0.31,0.33,0.38,0.31,0.25,0.39,0.16
c_1,2.11,1.55,2.43,0.4,1.84,1.65,0.5,0.65,0.19,0.47,0.37,0.35,0.38,0.27,0.35,0.24
b_1,1.93,2.05,1.95,0.97,0.39,2.19,0.7,0.54,0.41,0.64,0.99,0.35,0.41,0.35,0.33,0.36
a_1,2.71,2.3,2.46,2.76,1.11,0.34,0.76,0.48,0.55,0.67,0.48,0.45,0.82,0.29,0.51,0.31
h_1,2.69,2.63,2.53,3.0,3.42,2.48,0.33,0.59,0.65,0.71,0.54,0.51,0.5,0.73,0.49,0.4
c_0,2.93,3.29,1.56,5.36,3.6,3.12,0.9,0.37,0.95,0.91,0.71,0.68,0.66,0.44,0.58,0.41
d_0,3.18,1.59,6.66,3.33,3.59,3.24,0.82,0.79,0.38,0.99,0.7,0.7,0.63,0.45,0.66,0.56
g_1,3.13,2.99,3.36,3.44,3.16,2.78,0.77,0.59,0.75,0.3,0.61,0.64,0.65,0.35,0.59,0.71
b_0,2.92,2.89,2.59,4.91,5.82,3.16,0.78,0.38,0.84,0.9,0.35,0.73,0.66,0.43,0.59,0.45
f_0,6.62,3.16,3.05,2.9,4.02,3.38,0.96,0.78,0.76,0.57,0.67,0.33,0.92,0.48,0.67,0.3
a_0,4.2,3.91,2.98,4.24,5.71,7.92,1.03,0.61,1.0,0.98,0.43,0.88,0.34,0.6,0.87,0.64
h_0,4.73,3.56,3.64,5.01,3.64,3.57,1.63,0.79,0.93,1.05,0.85,0.76,0.71,0.9,0.65,0.61
e_0,6.63,7.02,3.5,3.91,3.59,3.4,1.19,0.82,0.99,1.02,0.94,0.39,0.9,0.49,0.3,0.48
g_0,5.6,4.21,3.62,6.42,3.72,3.8,0.98,0.81,1.01,1.55,0.83,0.76,0.88,0.49,0.72,0.92
