,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.99,2.95,2.24,3.43,3.02,2.44,11.26,19.68,9.97,12.53,13.5,13.52,22.67,17.65,11.96,18.98
f_1,4.45,6.15,2.59,2.54,2.51,2.57,9.61,12.61,9.46,13.7,13.59,9.53,18.19,13.56,12.16,18.24
d_1,2.58,3.43,6.83,2.31,2.42,2.87,11.15,9.81,10.1,23.36,16.96,12.9,21.7,15.22,15.67,20.75
c_1,2.34,2.58,2.7,7.07,4.99,3.29,9.58,11.95,9.41,7.29,9.82,12.56,20.47,12.62,13.87,19.47
b_1,2.26,2.67,2.83,3.05,7.54,5.7,10.54,11.19,10.03,12.0,9.02,14.43,20.04,11.16,14.03,22.36
a_1,2.93,2.98,3.04,2.94,2.63,10.39,11.56,12.82,11.97,12.14,13.27,14.78,22.83,10.68,18.46,23.75
h_1,2.83,4.03,3.35,2.74,3.06,2.9,18.82,12.26,14.56,13.42,13.39,13.86,15.94,14.03,15.26,25.96
d_0,2.63,2.92,2.5,5.04,3.7,2.72,10.76,18.77,9.58,9.03,13.32,13.52,22.65,15.13,16.44,22.76
g_1,2.65,2.92,4.5,2.46,2.65,2.83,11.67,11.42,23.54,15.84,13.84,19.78,22.17,15.75,21.56,18.56
c_0,2.96,3.49,3.51,2.65,2.4,2.8,12.89,15.15,10.58,21.38,25.42,15.03,21.36,19.87,19.91,26.49
b_0,3.11,3.29,3.38,3.12,2.37,2.71,12.12,13.9,13.44,15.4,23.69,13.47,23.83,29.11,18.46,25.92
f_0,2.75,2.6,3.0,3.03,3.55,3.56,13.19,14.68,12.89,13.64,15.22,25.0,24.11,14.53,34.89,24.45
h_0,3.16,3.72,3.26,3.03,3.14,3.18,8.22,12.63,13.25,12.74,13.32,11.84,15.15,12.36,15.6,26.72
a_0,3.23,3.28,3.15,3.08,2.99,2.15,12.03,14.32,10.9,13.28,16.3,14.53,26.55,28.37,17.81,21.14
e_0,2.73,3.66,3.28,2.87,3.39,2.77,10.8,13.12,10.88,14.64,13.99,14.03,24.02,13.69,29.85,27.42
g_0,2.81,3.02,4.58,2.96,2.95,3.24,10.57,11.88,7.51,14.46,15.91,19.48,20.96,17.59,17.09,18.88
