,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.89,0.18,0.21,0.14,0.14,0.12,0.17,0.06,0.13,0.3,0.17,0.16,0.17,0.13,0.11,0.16
e_1,0.16,0.89,0.19,0.23,0.14,0.12,0.15,0.33,0.13,0.15,0.15,0.17,0.18,0.12,0.05,0.13
f_1,0.2,0.34,0.89,0.18,0.11,0.11,0.15,0.15,0.13,0.16,0.05,0.14,0.13,0.1,0.07,0.1
c_1,0.18,0.19,0.19,0.88,0.26,0.08,0.14,0.17,0.11,0.05,0.14,0.1,0.18,0.09,0.09,0.16
b_1,0.2,0.16,0.16,0.19,0.88,0.22,0.17,0.15,0.11,0.15,0.14,0.05,0.14,0.07,0.11,0.16
a_1,0.21,0.19,0.14,0.17,0.17,0.88,0.17,0.21,0.15,0.18,0.19,0.16,0.18,0.04,0.14,0.14
h_1,0.26,0.18,0.35,0.24,0.15,0.1,0.55,0.2,0.22,0.18,0.15,0.17,0.11,0.13,0.12,0.21
d_0,0.14,0.22,0.22,0.45,0.21,0.15,0.19,0.4,0.13,0.13,0.17,0.16,0.2,0.1,0.11,0.16
g_1,0.36,0.2,0.19,0.19,0.17,0.12,0.13,0.21,0.55,0.17,0.28,0.19,0.23,0.14,0.15,0.08
c_0,0.25,0.22,0.29,0.13,0.14,0.12,0.24,0.24,0.15,0.43,0.2,0.41,0.23,0.16,0.15,0.23
f_0,0.27,0.19,0.15,0.26,0.2,0.14,0.2,0.24,0.2,0.17,0.41,0.2,0.24,0.15,0.28,0.17
b_0,0.28,0.22,0.31,0.25,0.06,0.08,0.19,0.23,0.16,0.17,0.2,0.41,0.25,0.28,0.15,0.16
h_0,0.29,0.21,0.35,0.21,0.16,0.12,0.11,0.21,0.19,0.18,0.19,0.19,0.13,0.11,0.13,0.21
a_0,0.29,0.21,0.27,0.2,0.15,0.05,0.24,0.22,0.12,0.22,0.23,0.16,0.23,0.38,0.16,0.19
e_0,0.32,0.09,0.25,0.25,0.16,0.13,0.24,0.23,0.16,0.2,0.2,0.18,0.25,0.15,0.38,0.21
g_0,0.4,0.19,0.22,0.19,0.17,0.12,0.2,0.16,0.11,0.2,0.31,0.22,0.24,0.14,0.13,0.14
