,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.17,0.95,0.93,0.83,0.72,0.94,0.75,0.63,0.6,0.74,0.58,0.54,0.63,0.56
f_1,1.24,1.0,1.01,0.83,0.94,0.76,0.56,0.68,0.64,0.57,0.59,0.55,0.49,0.55,0.46,0.66
c_1,0.84,1.0,1.0,1.09,1.31,0.92,0.72,0.51,0.76,0.61,0.56,0.61,0.6,0.49,0.54,0.61
d_1,1.07,1.2,0.9,1.0,0.91,0.79,0.76,0.71,0.55,0.86,0.7,0.64,0.66,0.67,0.6,0.44
b_1,1.08,1.04,0.79,1.11,1.0,1.44,0.72,0.61,0.71,0.75,0.67,0.69,0.7,0.56,0.55,0.55
a_1,1.18,1.3,1.06,1.26,0.69,1.0,0.95,0.78,0.93,0.83,0.84,0.67,0.75,0.72,0.65,0.67
h_1,1.38,1.76,1.42,1.34,1.35,1.04,1.0,0.87,1.02,0.88,0.83,0.89,0.85,0.86,0.76,0.84
d_0,1.06,1.46,2.03,1.46,1.7,1.21,1.08,1.0,0.94,0.91,0.99,0.94,1.03,0.81,1.0,0.94
g_1,1.34,1.54,1.35,1.77,1.35,1.09,0.97,1.01,1.0,1.03,1.02,1.12,0.81,0.93,0.98,0.73
c_0,1.64,1.72,1.56,1.18,1.25,1.11,1.15,1.11,0.95,1.0,1.39,0.97,1.12,1.03,0.94,0.89
b_0,1.66,1.75,1.83,1.38,1.42,1.14,1.28,1.04,0.96,0.72,1.0,0.99,0.9,1.28,0.84,0.98
f_0,1.3,1.84,1.64,1.48,1.49,1.59,1.11,1.03,0.89,1.04,1.0,1.0,0.97,0.98,1.26,0.71
h_0,1.8,2.0,1.7,1.47,1.4,1.37,1.22,1.0,1.22,0.88,1.08,1.01,1.0,0.87,0.87,0.93
a_0,1.85,1.71,2.0,1.52,1.73,1.33,1.13,1.26,1.1,0.99,0.83,0.99,1.11,1.0,1.0,0.94
e_0,1.62,2.1,1.82,1.61,1.85,1.46,1.26,1.02,0.98,1.06,1.18,0.81,1.18,0.94,1.0,0.92
g_0,1.88,1.55,1.68,2.26,1.85,1.5,1.22,1.06,1.39,1.1,1.06,1.49,1.07,1.13,1.11,1.0
