,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,23.35,0.69,0.41,0.4,0.3,0.29,0.44,0.76,0.76,0.47,0.76,0.18,0.93,0.8,0.52,0.66
e_1,0.37,24.47,0.29,0.4,0.31,0.32,0.8,1.55,0.67,0.7,0.79,0.75,0.79,0.97,0.23,0.82
d_1,0.39,0.26,27.13,0.33,0.34,0.39,0.63,0.2,1.76,0.86,0.9,0.89,0.92,0.71,0.95,0.76
c_1,0.38,0.33,0.28,27.77,0.72,0.26,0.77,0.77,0.18,0.69,0.57,0.85,0.78,0.69,1.0,0.76
b_1,0.28,0.26,0.36,0.3,28.96,0.9,0.81,0.91,0.71,0.89,0.23,0.66,0.97,0.68,0.75,0.75
a_1,0.32,0.27,0.36,0.25,0.43,43.36,0.94,0.68,0.83,0.8,0.87,0.89,0.94,0.2,0.84,1.26
h_1,0.96,0.56,0.8,0.54,0.53,0.36,10.62,1.4,1.43,1.77,1.56,1.46,0.56,1.41,1.58,2.79
d_0,0.72,0.62,0.24,1.6,0.57,0.42,1.83,5.31,0.87,1.31,1.34,1.57,2.06,1.56,1.39,1.45
c_0,0.93,0.73,0.67,0.21,0.48,0.77,1.44,1.5,5.97,1.14,3.74,1.6,1.57,1.93,1.9,1.92
g_1,0.45,0.55,1.22,0.79,0.49,0.5,1.13,1.45,0.88,14.05,1.4,3.04,1.63,1.56,1.49,0.77
b_0,0.8,0.89,0.6,0.65,0.14,0.55,1.04,1.45,1.51,1.21,7.07,1.69,1.26,3.68,2.23,1.6
f_0,0.21,0.56,0.84,0.79,0.73,0.56,1.51,1.14,1.76,1.26,2.24,8.21,2.11,1.43,4.01,1.77
h_0,0.89,0.71,0.78,0.59,0.57,0.53,0.56,1.14,1.54,1.45,1.7,1.66,0.56,0.88,1.29,2.01
a_0,0.74,0.55,0.88,0.85,0.55,0.23,1.6,1.42,1.77,1.57,1.99,2.43,1.95,9.77,0.93,2.41
e_0,0.82,0.17,0.73,0.78,0.62,0.7,2.05,1.33,2.2,1.35,1.84,1.31,1.98,1.74,11.34,1.83
g_0,0.49,0.62,1.24,0.56,0.58,0.55,1.73,1.17,1.44,0.5,1.62,3.31,1.42,1.71,1.39,0.99
