,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,0.73,0.78,0.78,0.79,0.62,0.15,0.27,0.14,0.15,0.15,0.31,0.08,0.18,0.12,0.18
e_1,0.42,0.17,0.91,0.93,0.78,0.84,0.24,0.3,0.16,0.17,0.19,0.19,0.13,0.15,0.4,0.12
d_1,0.83,0.85,0.16,0.83,0.88,0.77,0.21,0.14,0.14,0.42,0.15,0.16,0.11,0.15,0.15,0.06
c_1,0.73,0.62,1.09,0.15,0.77,0.64,0.29,0.25,0.4,0.09,0.16,0.18,0.1,0.13,0.14,0.12
b_1,1.0,0.8,0.73,0.39,0.13,1.04,0.26,0.22,0.22,0.18,0.45,0.15,0.13,0.16,0.19,0.11
a_1,0.87,0.85,0.98,0.96,0.35,0.09,0.19,0.21,0.18,0.16,0.18,0.14,0.16,0.49,0.15,0.11
h_1,0.6,0.63,0.56,0.6,0.71,0.54,0.06,0.18,0.13,0.16,0.11,0.12,0.16,0.11,0.11,0.09
g_1,0.86,0.69,0.44,0.6,0.68,0.65,0.15,0.05,0.13,0.13,0.14,0.13,0.07,0.14,0.1,0.13
c_0,0.79,0.69,0.32,1.55,0.7,0.53,0.18,0.17,0.06,0.18,0.11,0.11,0.09,0.12,0.11,0.08
d_0,0.64,0.34,1.25,0.59,0.71,0.53,0.17,0.23,0.14,0.07,0.15,0.14,0.1,0.13,0.11,0.11
b_0,0.64,0.58,0.53,0.86,1.17,0.54,0.2,0.16,0.06,0.12,0.06,0.12,0.09,0.11,0.11,0.1
f_0,1.61,0.62,0.5,0.72,0.64,0.52,0.2,0.1,0.13,0.14,0.12,0.05,0.09,0.1,0.11,0.05
h_0,0.65,0.54,0.54,0.69,0.72,0.47,0.28,0.14,0.14,0.1,0.11,0.1,0.16,0.11,0.1,0.1
a_0,0.61,0.6,0.57,0.59,0.8,1.3,0.2,0.18,0.11,0.12,0.06,0.13,0.08,0.04,0.11,0.11
e_0,0.76,1.07,0.52,0.58,0.65,0.53,0.2,0.19,0.14,0.11,0.1,0.06,0.07,0.12,0.04,0.08
g_0,0.63,0.64,0.46,0.72,0.67,0.88,0.13,0.24,0.12,0.12,0.12,0.11,0.06,0.11,0.12,0.16
