,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,3.84,2.42,3.05,3.89,5.17,1.85,2.04,1.83,1.34,1.56,1.74,1.51,1.48,,1.47
d_1,3.84,0.41,3.89,4.13,3.58,3.17,2.45,1.19,,1.72,1.86,1.53,0.98,2.37,1.27,1.07
f_1,4.76,3.67,0.4,2.92,3.73,6.22,1.35,2.17,1.44,1.57,1.5,,0.95,2.05,1.53,1.51
c_1,4.09,3.62,3.5,0.39,4.28,3.55,2.05,1.53,1.1,,1.44,1.79,1.36,1.42,2.02,1.17
b_1,3.11,3.29,3.5,2.26,0.38,4.28,2.13,2.33,1.65,1.79,,1.6,1.37,,1.99,1.65
a_1,3.29,4.17,2.85,3.95,2.2,0.31,1.28,2.78,1.85,2.06,1.52,1.74,1.86,,,1.43
h_1,1.91,1.43,2.11,1.78,1.62,2.33,0.26,1.0,0.89,0.93,0.87,0.7,,0.66,0.68,0.71
g_1,1.9,2.01,2.0,2.2,1.58,1.61,0.85,0.25,0.72,0.85,0.66,1.04,0.61,0.82,1.02,
d_0,1.0,,1.63,1.87,1.47,1.58,0.79,0.96,0.29,0.85,0.7,0.68,0.68,0.86,0.57,0.71
c_0,1.8,1.11,1.53,,1.4,1.25,0.75,0.88,0.79,0.29,0.87,0.85,0.77,0.7,0.65,0.42
b_0,1.9,1.36,1.88,2.06,,1.78,0.91,1.11,0.8,0.41,0.27,0.71,0.55,0.86,0.64,0.52
f_0,1.44,1.53,,2.24,1.74,1.25,1.03,0.56,0.82,0.7,0.84,0.26,0.58,0.66,1.0,0.43
h_0,1.28,1.79,1.46,1.14,1.28,1.05,,0.72,0.5,0.47,0.66,0.6,,0.44,0.54,0.54
a_0,2.47,1.58,1.2,1.32,,,0.92,0.86,0.72,0.77,0.43,0.66,0.79,0.23,0.63,0.65
e_0,,1.74,2.11,1.73,1.59,,0.96,0.81,0.8,0.63,0.64,0.37,0.6,0.74,0.21,
g_0,1.17,1.48,1.32,1.44,1.46,1.07,0.58,,0.53,0.86,0.71,0.59,0.35,0.56,,
