,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.14,6.13,9.95,9.84,15.06,9.64,3.26,2.19,2.32,3.53,2.06,2.66,1.82,2.53,16.9,1.82
f_1,11.17,1.14,10.46,14.83,9.81,9.12,2.02,2.08,1.92,3.95,2.3,9.9,1.21,1.85,2.26,2.3
d_1,17.11,14.29,1.14,11.48,13.59,13.2,2.95,11.54,2.11,1.79,2.22,2.38,1.82,2.69,2.13,1.07
c_1,11.14,12.91,20.85,1.14,11.78,13.12,4.06,1.34,12.16,4.18,3.12,2.22,2.05,2.2,3.11,1.93
b_1,13.45,20.82,13.93,7.14,1.15,21.63,4.42,3.06,3.8,5.68,22.04,3.57,2.31,5.59,2.73,1.83
a_1,23.96,22.37,19.26,22.36,11.23,1.15,7.93,4.57,3.57,5.49,3.65,3.57,2.85,30.75,3.78,4.69
h_1,28.82,21.44,27.06,34.17,29.44,21.86,1.91,7.18,5.45,8.0,5.27,5.22,9.95,3.97,5.38,4.45
d_0,16.74,36.76,142.35,34.17,27.32,26.75,12.29,2.76,8.96,12.07,5.88,7.27,4.08,6.71,6.02,5.26
c_0,31.68,29.52,16.21,217.21,36.81,39.1,10.22,9.14,2.64,10.71,6.71,6.45,4.04,6.25,5.92,4.63
g_1,32.21,41.88,30.04,41.66,27.04,52.13,7.64,8.59,6.42,1.89,7.52,5.36,3.43,4.92,5.07,11.19
b_0,34.22,31.05,38.52,38.49,80.3,35.67,9.22,8.19,4.2,11.65,2.61,5.92,5.3,8.2,5.82,4.96
f_0,34.22,133.41,34.1,41.09,37.86,40.66,11.62,7.49,8.3,7.22,6.56,2.65,4.58,5.77,5.55,2.8
h_0,43.56,60.03,54.57,57.38,54.08,54.95,42.4,11.35,10.64,17.03,11.02,9.26,19.43,9.71,8.07,8.26
a_0,49.78,56.28,56.45,74.17,69.74,,16.0,13.8,13.1,21.42,6.78,11.71,9.95,2.88,11.45,7.23
e_0,,85.76,69.66,50.68,49.07,44.2,22.32,13.54,12.85,12.53,11.22,5.63,6.92,12.3,2.82,9.38
g_0,73.71,54.58,65.48,72.4,67.95,61.61,15.14,15.64,12.85,55.33,12.59,11.25,7.7,10.25,12.68,16.52
