,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.88,0.09,0.07,0.06,0.07,0.05,0.07,0.07,0.16,0.09,0.02,0.07,0.08,0.04,0.05,0.07
f_1,0.08,0.88,0.16,0.07,0.06,0.06,0.08,0.05,0.07,0.08,0.07,0.01,0.06,0.05,0.04,0.06
e_1,0.07,0.09,0.88,0.1,0.08,0.05,0.08,0.06,0.07,0.06,0.16,0.06,0.08,0.04,0.01,0.04
c_1,0.09,0.07,0.09,0.88,0.11,0.04,0.08,0.07,0.02,0.06,0.09,0.08,0.07,0.05,0.05,0.06
b_1,0.08,0.11,0.08,0.06,0.87,0.11,0.08,0.05,0.08,0.01,0.05,0.06,0.07,0.06,0.04,0.06
a_1,0.09,0.1,0.1,0.07,0.04,0.87,0.09,0.06,0.08,0.1,0.08,0.05,0.11,0.01,0.06,0.06
h_1,0.18,0.2,0.11,0.15,0.12,0.07,0.53,0.15,0.13,0.13,0.08,0.1,0.04,0.08,0.09,0.14
g_1,0.27,0.11,0.11,0.14,0.11,0.07,0.12,0.53,0.11,0.12,0.08,0.17,0.15,0.08,0.08,0.05
c_0,0.18,0.17,0.15,0.05,0.11,0.1,0.14,0.13,0.4,0.3,0.13,0.16,0.17,0.11,0.1,0.12
b_0,0.17,0.18,0.15,0.17,0.04,0.07,0.14,0.12,0.15,0.37,0.15,0.14,0.15,0.19,0.09,0.1
d_0,0.05,0.14,0.15,0.32,0.1,0.07,0.12,0.12,0.12,0.12,0.34,0.12,0.15,0.1,0.09,0.08
f_0,0.17,0.09,0.13,0.17,0.17,0.08,0.12,0.13,0.12,0.14,0.12,0.36,0.16,0.08,0.21,0.12
h_0,0.2,0.17,0.13,0.14,0.12,0.07,0.07,0.15,0.14,0.16,0.13,0.14,0.06,0.09,0.11,0.13
a_0,0.18,0.17,0.12,0.15,0.11,0.03,0.17,0.13,0.16,0.15,0.16,0.16,0.18,0.37,0.08,0.16
e_0,0.19,0.16,0.03,0.18,0.12,0.09,0.14,0.16,0.14,0.16,0.11,0.12,0.16,0.14,0.37,0.12
g_0,0.24,0.12,0.11,0.13,0.14,0.09,0.14,0.05,0.14,0.14,0.13,0.19,0.13,0.07,0.09,0.06
