,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.95,1.38,1.56,1.45,1.4,0.76,0.63,0.67,0.49,0.53,0.57,0.5,0.51,0.72,0.41
f_1,1.55,0.66,1.2,1.52,1.32,1.16,0.46,0.71,0.5,0.48,0.47,0.77,0.29,0.44,0.52,0.39
d_1,1.56,1.63,0.65,1.32,1.41,1.28,0.61,0.46,0.8,0.57,0.54,0.45,0.45,0.48,0.43,0.3
c_1,1.29,1.42,1.93,0.64,1.58,1.44,0.58,0.68,0.35,0.69,0.48,0.45,0.45,0.43,0.42,0.52
b_1,1.55,1.7,1.61,0.93,0.63,1.72,0.77,0.79,0.63,0.69,0.78,0.54,0.49,0.55,0.56,0.39
a_1,1.73,2.27,1.74,1.77,1.07,0.57,0.96,0.72,0.72,0.74,0.85,0.68,0.51,1.64,0.65,0.56
h_1,2.04,2.88,1.89,2.46,2.0,1.75,0.58,1.13,0.77,0.7,0.77,0.7,0.8,0.64,0.55,0.67
g_1,2.56,2.43,2.35,2.44,2.17,1.99,0.86,0.55,0.95,0.83,0.83,0.87,0.57,0.82,0.61,0.78
d_0,1.4,2.49,3.23,2.91,2.4,2.05,1.18,1.16,0.62,0.79,0.89,0.82,0.68,0.75,0.93,0.79
c_0,2.85,2.77,1.54,3.82,2.2,1.93,1.18,1.04,1.1,0.62,1.1,1.0,0.69,0.77,0.89,0.77
b_0,2.29,2.55,2.22,3.53,4.49,1.98,1.14,1.0,0.98,0.52,0.59,0.73,0.91,1.05,0.92,0.84
f_0,2.41,3.52,2.62,3.08,2.73,1.91,1.41,0.81,0.82,0.77,0.91,0.59,0.79,1.02,1.04,0.6
h_0,2.47,3.03,2.63,2.82,2.61,2.56,1.49,1.31,1.05,1.1,0.86,0.91,1.05,0.83,0.87,0.86
a_0,2.77,3.01,2.82,3.44,2.97,3.09,1.58,1.36,1.21,1.07,0.59,1.0,0.91,0.56,0.95,0.86
e_0,3.88,3.33,3.16,2.75,3.07,2.23,1.58,1.5,1.03,1.04,1.0,0.59,1.02,1.18,0.56,0.88
g_0,3.02,3.12,3.37,2.83,3.25,2.77,1.02,1.68,1.04,1.08,1.03,1.09,0.74,0.99,1.0,1.06
