,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.51,0.84,0.85,1.02,0.87,0.74,1.08,1.05,1.11,1.56,1.0,1.05,0.92,1.15,0.71,1.06
f_1,1.38,1.54,0.82,0.92,0.75,0.67,0.92,0.9,0.9,1.01,0.72,0.95,0.89,0.93,0.66,0.92
d_1,0.92,0.95,1.55,0.71,0.82,0.79,1.15,0.94,1.59,0.86,1.03,1.21,0.93,1.04,0.99,1.02
c_1,0.84,0.87,1.0,1.59,1.37,0.74,1.08,0.95,0.64,0.87,1.0,0.72,0.91,1.1,0.93,0.99
b_1,0.88,1.06,0.96,0.82,1.63,1.25,1.07,1.06,1.06,0.95,1.08,0.7,0.73,1.19,0.82,0.99
a_1,1.12,1.06,1.0,0.94,0.67,1.76,1.24,1.17,1.19,1.34,1.16,1.21,0.89,1.4,1.23,1.23
h_1,1.09,1.47,1.1,1.12,1.01,0.89,1.79,1.52,1.22,1.26,1.1,1.34,1.05,1.22,1.11,1.56
g_1,1.1,1.15,1.52,1.17,1.09,0.77,1.07,1.85,1.34,1.17,1.66,1.22,1.04,1.39,1.11,1.22
c_0,1.16,1.4,1.18,1.18,0.9,0.9,1.46,1.28,1.77,1.42,1.33,2.2,1.42,1.61,1.45,1.49
d_0,1.01,1.23,1.03,1.83,1.21,0.68,1.31,1.35,1.08,1.72,1.19,1.24,1.27,1.63,1.33,1.19
f_0,1.06,1.22,1.31,1.26,1.04,0.96,1.48,1.2,1.54,1.54,1.83,1.39,1.29,1.49,2.13,1.37
b_0,1.21,1.39,1.15,1.44,0.91,0.79,1.36,1.35,1.21,1.48,1.44,1.83,2.04,1.59,1.21,1.6
a_0,1.21,1.45,1.33,1.28,1.14,0.76,1.62,1.49,1.37,1.36,1.43,1.12,1.9,1.6,1.1,1.41
h_0,1.24,1.68,1.36,1.09,1.05,0.98,1.19,1.6,1.36,1.26,1.28,1.23,1.21,1.38,1.05,1.78
e_0,1.21,1.58,1.26,1.19,1.28,0.81,1.51,1.33,1.43,1.37,1.27,1.54,1.48,1.53,1.86,1.48
g_0,1.22,1.22,1.76,1.23,1.11,0.96,1.3,1.17,1.4,1.35,1.89,1.48,1.38,1.39,1.34,1.35
