,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.44,0.95,1.2,1.05,1.2,1.02,0.25,0.22,0.32,0.21,0.2,0.3,0.13,0.21,0.2,0.2
e_1,0.7,0.44,1.15,1.12,1.26,1.19,0.34,0.29,0.44,0.24,0.23,0.35,0.18,0.43,0.24,0.21
c_1,1.06,1.02,0.41,1.58,1.18,1.11,0.36,0.15,0.35,0.32,0.27,0.23,0.16,0.2,0.21,0.17
d_1,1.43,1.54,1.24,0.39,1.2,1.09,0.36,0.47,0.22,0.25,0.27,0.25,0.19,0.26,0.31,0.12
b_1,1.51,1.45,0.76,1.5,0.38,1.44,0.39,0.29,0.37,0.42,0.4,0.28,0.18,0.22,0.26,0.17
a_1,1.72,1.72,1.41,1.89,0.74,0.33,0.52,0.44,0.49,0.37,0.48,0.29,0.24,0.29,0.48,0.26
h_1,2.21,2.02,2.2,1.83,2.38,1.74,0.3,0.43,0.57,0.4,0.4,0.43,0.4,0.35,0.41,0.27
d_0,2.25,1.34,2.7,3.78,2.62,2.12,0.74,0.33,0.85,0.56,0.44,0.45,0.38,0.61,0.49,0.37
g_1,2.71,2.06,2.46,2.45,2.73,2.37,0.55,0.49,0.27,0.47,0.48,0.47,0.27,0.49,0.41,0.38
c_0,2.99,2.54,4.61,1.31,2.59,2.7,0.69,0.82,0.67,0.32,0.61,0.57,0.37,0.53,0.54,0.36
b_0,2.82,2.36,3.99,2.02,4.02,2.22,0.83,0.63,0.78,0.28,0.31,0.5,0.36,0.54,0.5,0.34
f_0,3.89,2.54,3.03,2.86,2.63,2.26,0.72,0.67,0.51,0.55,0.53,0.3,0.41,0.46,0.51,0.22
h_0,3.27,2.92,3.69,2.94,2.84,2.38,1.26,0.63,0.9,0.63,0.6,0.63,0.62,0.54,0.57,0.44
e_0,4.05,4.04,3.46,2.94,2.9,2.71,0.77,0.65,0.86,0.7,0.64,0.35,0.42,0.29,0.61,0.36
a_0,3.04,2.96,3.63,2.9,4.18,3.94,1.03,0.63,0.93,0.55,0.36,0.84,0.52,0.71,0.28,0.42
g_0,4.32,3.53,3.75,3.31,3.3,2.69,0.8,0.81,1.12,0.79,0.67,0.62,0.38,0.57,0.66,0.58
