,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.77,0.74,0.35,0.4,0.31,0.32,0.92,0.6,0.9,0.82,0.92,0.13,0.79,0.74,0.35,1.05
e_1,0.45,3.83,0.32,0.48,0.36,0.35,0.63,0.67,1.4,0.72,0.96,0.97,0.91,0.84,0.23,0.55
d_1,0.41,0.32,4.23,0.27,0.39,0.48,0.84,0.76,0.17,1.72,0.87,0.89,0.89,0.75,1.01,0.83
c_1,0.33,0.4,0.33,4.23,0.83,0.44,0.79,0.59,0.93,0.12,0.47,0.79,0.83,0.38,0.73,0.81
b_1,0.45,0.32,0.39,0.35,4.87,0.74,0.66,0.86,0.63,0.81,0.21,0.82,0.92,0.93,1.02,0.82
a_1,0.46,0.38,0.48,0.42,0.33,7.22,0.78,0.72,0.77,0.7,0.74,0.56,0.93,0.29,0.67,0.75
h_1,1.03,0.73,0.75,0.64,0.55,0.42,4.99,1.69,1.31,0.88,1.47,1.31,0.8,1.72,1.81,2.29
g_1,0.61,0.58,1.14,0.7,0.56,0.49,0.96,6.01,1.05,1.43,1.41,2.33,1.71,1.28,1.79,0.77
d_0,0.73,0.76,0.19,1.41,0.59,0.6,1.32,1.4,3.61,1.15,1.43,1.64,1.12,1.27,1.57,1.5
c_0,0.83,0.63,0.91,0.29,0.53,0.56,1.3,1.62,1.4,4.42,3.24,1.73,1.87,1.62,2.11,1.73
b_0,0.7,0.76,0.8,0.77,0.28,0.4,1.41,1.52,1.49,1.69,4.89,1.75,1.9,3.34,1.45,1.87
f_0,0.26,0.55,0.97,0.79,0.64,0.74,1.38,1.19,1.48,1.49,1.62,5.34,1.77,1.94,3.94,2.1
h_0,0.74,0.66,0.87,0.82,0.63,0.61,0.49,1.58,1.41,1.18,1.42,1.56,0.48,1.55,1.52,2.27
a_0,0.83,0.49,0.86,0.71,0.88,,1.29,1.56,1.18,1.25,1.26,1.79,1.9,5.91,1.69,1.8
e_0,0.71,0.19,0.83,0.89,0.87,0.66,1.46,1.31,1.64,1.23,1.61,1.45,1.85,2.15,6.31,1.73
g_0,0.61,0.76,1.25,0.66,0.51,0.47,0.9,1.13,1.1,1.22,1.4,2.05,1.45,1.87,1.63,
