,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.24,0.91,0.86,0.86,0.67,0.43,0.45,0.45,0.37,0.38,0.38,0.32,0.28,0.33,0.31
e_1,0.8,1.0,1.17,0.94,0.88,0.72,0.49,0.46,0.58,0.41,0.48,0.4,0.37,0.4,0.36,0.34
c_1,1.11,0.85,1.0,1.11,1.22,0.58,0.51,0.47,0.32,0.35,0.39,0.34,0.37,0.34,0.31,0.36
d_1,1.16,1.07,0.9,1.0,0.94,0.67,0.5,0.35,0.52,0.57,0.41,0.36,0.38,0.34,0.3,0.3
b_1,1.14,1.16,0.83,1.05,1.0,1.32,0.6,0.47,0.45,0.55,0.43,0.46,0.39,0.36,0.36,0.33
a_1,1.48,1.38,1.73,1.51,0.77,1.0,0.7,0.68,0.58,0.51,0.61,0.74,0.56,0.52,0.45,0.43
h_1,2.38,2.06,1.92,2.0,1.66,1.37,1.0,1.08,0.87,0.86,0.87,0.75,0.75,0.71,0.59,0.8
g_1,2.25,2.13,2.18,2.83,2.08,1.36,0.92,1.0,0.86,0.93,1.2,0.83,0.62,0.64,0.73,0.64
d_0,2.22,1.71,3.1,1.82,2.42,1.59,1.12,1.13,1.0,0.77,0.95,0.84,0.85,0.74,0.79,0.74
c_0,2.6,2.45,2.85,1.74,1.81,1.94,1.15,1.1,1.18,1.0,0.94,1.31,0.93,0.8,0.86,0.78
f_0,2.47,2.07,2.74,2.42,2.38,1.63,1.15,0.82,1.06,1.03,1.0,1.05,0.93,1.02,0.84,0.59
b_0,2.63,2.66,3.03,2.52,2.06,1.42,1.41,1.25,1.1,0.77,0.97,1.0,1.06,0.76,1.27,0.79
h_0,3.27,2.7,2.73,2.65,2.51,1.84,1.39,1.61,1.13,1.04,1.09,0.95,1.0,0.88,0.85,0.91
e_0,3.72,2.85,2.79,2.93,2.74,2.11,1.34,1.47,1.32,1.22,0.94,1.4,1.15,1.0,1.06,0.82
a_0,2.95,2.84,3.22,3.54,2.77,2.21,1.72,1.38,1.24,1.21,1.21,0.78,1.16,0.88,1.0,0.97
g_0,3.02,2.9,2.82,3.33,3.04,2.46,1.27,1.58,1.4,1.29,1.68,1.29,1.04,1.14,1.0,1.0
