,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,2.37,4.36,4.0,4.45,4.06,1.41,0.9,1.56,0.96,0.97,1.21,0.57,0.96,2.15,0.69
f_1,3.89,1.12,4.18,4.58,4.07,4.23,0.9,0.94,1.39,0.85,0.86,1.89,0.46,0.86,0.77,0.66
d_1,4.55,4.93,1.12,4.77,4.49,4.64,1.26,0.94,0.9,1.82,0.8,0.82,0.64,0.81,1.07,0.43
c_1,4.33,5.91,6.58,1.13,5.41,4.85,1.62,2.35,1.76,0.6,1.25,0.95,0.79,1.09,1.09,0.78
b_1,6.6,7.03,6.37,3.39,1.14,6.71,1.96,1.47,1.5,1.36,1.97,1.23,0.89,1.39,1.38,1.04
a_1,8.79,7.77,6.91,9.36,3.77,1.14,2.47,1.85,1.88,1.99,2.41,1.73,1.61,5.9,1.49,1.53
h_1,14.26,17.25,14.4,15.73,14.11,13.73,1.72,2.85,4.85,3.34,3.06,3.03,3.57,2.84,2.46,2.53
c_0,19.51,20.58,9.89,31.98,23.48,18.39,5.61,2.08,5.0,4.26,3.39,3.38,2.95,3.48,3.15,2.51
g_1,20.78,25.15,18.21,18.42,22.43,15.49,3.98,3.61,1.78,3.98,3.56,4.05,2.11,4.1,3.31,4.45
d_0,11.18,19.58,30.19,20.94,21.66,24.24,6.1,4.29,6.88,2.33,4.63,3.58,2.89,3.65,4.44,3.02
b_0,21.24,20.7,19.12,22.05,38.06,19.07,5.69,2.41,5.64,4.15,2.22,4.02,2.78,5.07,3.76,2.67
f_0,21.85,47.66,22.35,24.05,21.84,17.17,5.65,4.17,4.18,4.81,4.46,2.18,3.72,4.74,3.95,2.25
h_0,26.73,28.3,27.76,29.1,28.55,23.95,12.86,5.3,10.15,5.46,6.12,5.9,6.46,4.84,4.6,4.15
a_0,28.32,33.85,25.31,35.49,43.31,43.83,8.62,4.49,7.17,6.31,2.97,5.39,4.77,2.28,4.55,3.88
e_0,50.3,48.95,25.88,35.49,30.27,23.41,7.53,6.03,8.68,6.38,6.31,3.17,4.72,5.67,2.37,4.1
g_0,31.86,39.8,32.47,33.45,35.89,31.69,7.27,6.48,16.5,5.75,6.81,6.69,4.06,6.63,6.02,6.59
