,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.95,0.54,0.59,0.76,0.58,0.43,0.45,0.35,0.35,0.6,0.37,0.34,0.35,0.28,0.24,0.3
d_1,0.67,0.96,0.65,0.53,0.54,0.42,0.47,0.35,0.58,0.29,0.36,0.37,0.35,0.31,0.3,0.3
f_1,0.91,0.61,0.96,0.56,0.5,0.4,0.4,0.39,0.37,0.39,0.3,0.34,0.29,0.3,0.19,0.31
c_1,0.53,0.66,0.67,0.95,0.88,0.49,0.43,0.36,0.32,0.31,0.34,0.25,0.38,0.23,0.28,0.33
b_1,0.64,0.65,0.68,0.54,0.95,0.74,0.46,0.39,0.35,0.38,0.33,0.28,0.38,0.23,0.31,0.33
a_1,0.78,0.78,0.77,0.67,0.56,0.95,0.52,0.47,0.43,0.45,0.4,0.44,0.38,0.31,0.36,0.33
h_1,0.87,0.96,1.11,0.89,0.77,0.56,0.81,0.61,0.53,0.51,0.51,0.54,0.45,0.37,0.38,0.55
g_1,0.93,1.24,0.94,0.82,0.82,0.67,0.66,0.81,0.65,0.52,0.68,0.56,0.46,0.41,0.46,0.48
c_0,1.04,1.01,1.06,0.88,0.87,0.62,0.76,0.61,0.76,0.68,0.61,0.86,0.59,0.59,0.45,0.52
d_0,0.82,0.89,0.99,1.49,0.99,0.61,0.7,0.55,0.43,0.74,0.52,0.51,0.56,0.4,0.42,0.53
f_0,0.89,1.05,1.1,0.99,1.04,0.69,0.77,0.64,0.65,0.62,0.74,0.61,0.63,0.43,0.75,0.53
b_0,0.98,1.17,1.14,1.16,0.82,0.54,0.73,0.61,0.57,0.61,0.61,0.73,0.64,0.78,0.49,0.54
h_0,1.06,1.2,1.34,1.07,0.95,0.79,0.67,0.8,0.61,0.66,0.6,0.59,0.53,0.5,0.48,0.71
a_0,1.08,1.16,1.22,1.17,1.01,0.65,0.86,0.69,0.67,0.67,0.64,0.56,0.71,0.7,0.58,0.66
e_0,1.0,1.25,1.3,1.06,0.93,0.75,0.89,0.7,0.72,0.63,0.58,0.67,0.72,0.5,0.72,0.62
g_0,0.99,1.49,1.04,1.17,0.97,0.82,0.69,0.61,0.72,0.6,0.82,0.63,0.58,0.45,0.57,0.53
