,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.43,0.95,0.85,0.95,0.75,0.22,0.29,0.16,0.16,0.17,0.2,0.11,0.17,0.33,0.12
f_1,0.73,0.17,0.73,0.78,0.81,0.67,0.16,0.26,0.15,0.16,0.15,0.28,0.08,0.15,0.14,0.15
d_1,0.93,0.83,0.16,0.79,0.69,0.79,0.23,0.13,0.14,0.45,0.15,0.13,0.09,0.14,0.16,0.07
c_1,0.58,0.71,1.11,0.14,0.82,0.85,0.24,0.19,0.37,0.09,0.16,0.14,0.12,0.18,0.12,0.1
b_1,0.78,1.03,0.69,0.4,0.13,0.86,0.28,0.27,0.24,0.19,0.43,0.15,0.15,0.14,0.15,0.12
a_1,0.89,1.16,0.69,1.02,0.37,0.1,0.22,0.22,0.15,0.22,0.18,0.12,0.12,0.65,0.17,0.13
h_1,0.65,0.58,0.64,0.7,0.57,0.51,0.06,0.2,0.12,0.13,0.12,0.12,0.16,0.12,0.1,0.11
g_1,0.58,0.76,0.55,0.69,0.77,0.58,0.12,0.05,0.15,0.15,0.12,0.11,0.08,0.1,0.12,0.14
c_0,0.67,0.78,0.31,1.71,0.72,0.57,0.17,0.17,0.06,0.17,0.12,0.13,0.09,0.13,0.14,0.09
d_0,0.34,0.61,1.32,0.66,0.75,0.55,0.19,0.21,0.13,0.06,0.14,0.13,0.1,0.12,0.1,0.1
b_0,0.56,0.67,0.56,0.93,1.3,0.53,0.17,0.18,0.07,0.11,0.06,0.1,0.09,0.11,0.13,0.07
f_0,0.54,1.67,0.6,0.55,0.54,0.65,0.2,0.11,0.13,0.12,0.12,0.06,0.11,0.1,0.12,0.05
h_0,0.62,0.7,0.49,0.64,0.5,0.56,0.4,0.16,0.12,0.14,0.13,0.1,0.15,0.1,0.13,0.1
a_0,0.58,0.64,0.53,0.62,0.96,1.09,0.16,0.2,0.11,0.15,0.06,0.15,0.12,0.04,0.13,0.07
e_0,0.99,0.75,0.55,0.49,0.55,0.62,0.2,0.16,0.12,0.13,0.13,0.07,0.08,0.13,0.04,0.12
g_0,0.54,0.67,0.59,0.58,0.66,0.5,0.14,0.29,0.13,0.12,0.13,0.14,0.07,0.12,0.12,0.17
