,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.94,0.41,0.44,0.55,0.4,0.23,0.3,0.52,0.29,0.29,0.26,0.28,0.26,0.3,0.15,0.21
d_1,0.43,0.95,0.47,0.4,0.39,0.29,0.3,0.23,0.47,0.24,0.32,0.27,0.28,0.2,0.25,0.2
f_1,0.7,0.42,0.95,0.5,0.33,0.33,0.26,0.26,0.26,0.24,0.24,0.14,0.27,0.22,0.16,0.18
c_1,0.42,0.44,0.45,0.95,0.72,0.26,0.34,0.23,0.19,0.25,0.21,0.26,0.25,0.21,0.18,0.16
b_1,0.5,0.52,0.56,0.35,0.94,0.59,0.31,0.29,0.28,0.27,0.18,0.24,0.28,0.24,0.17,0.16
a_1,0.65,0.55,0.57,0.56,0.28,0.94,0.41,0.37,0.34,0.34,0.36,0.34,0.29,0.28,0.21,0.16
h_1,0.74,0.76,0.91,0.71,0.61,0.44,0.77,0.43,0.42,0.48,0.4,0.38,0.33,0.41,0.29,0.3
d_0,0.63,0.48,0.84,1.31,0.71,0.46,0.58,0.68,0.33,0.44,0.46,0.38,0.42,0.35,0.29,0.33
c_0,0.8,0.75,0.82,0.68,0.62,0.5,0.5,0.57,0.67,0.39,0.75,0.48,0.43,0.41,0.37,0.35
g_1,0.62,1.13,0.68,0.82,0.67,0.4,0.49,0.46,0.5,0.75,0.5,0.62,0.35,0.32,0.35,0.29
b_0,0.8,0.84,0.93,0.89,0.57,0.44,0.62,0.48,0.46,0.4,0.69,0.46,0.5,0.44,0.31,0.55
f_0,0.76,0.95,0.57,0.85,0.75,0.51,0.61,0.58,0.54,0.4,0.51,0.66,0.48,0.45,0.56,0.34
h_0,0.93,0.88,1.05,0.84,0.62,0.52,0.48,0.59,0.52,0.63,0.47,0.49,0.37,0.53,0.31,0.28
g_0,0.74,1.34,0.8,0.99,0.73,0.56,0.62,0.53,0.56,0.47,0.47,0.68,0.45,0.35,0.36,0.34
e_0,0.62,0.94,0.96,0.96,0.81,0.65,0.71,0.57,0.63,0.46,0.63,0.49,0.65,0.52,0.64,0.37
a_0,0.86,0.95,0.89,1.05,0.88,0.51,0.64,0.61,0.59,0.58,0.52,0.54,0.64,0.48,0.41,0.6
