,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.36,1.16,1.3,0.88,0.94,0.92,1.84,1.53,3.6,2.1,2.0,1.89,1.85,2.66,1.3,2.55
f_1,1.75,2.46,1.04,1.0,0.88,0.77,1.56,1.66,2.28,2.14,2.03,1.18,1.64,2.6,1.28,2.32
c_1,0.95,1.03,2.48,0.99,1.6,0.94,1.98,1.66,2.16,1.54,1.26,2.26,1.76,2.49,1.91,2.56
d_1,0.94,1.09,0.94,2.54,0.96,0.88,2.2,1.95,1.76,2.67,3.75,2.15,2.08,2.79,2.12,2.37
b_1,1.06,1.07,1.0,0.93,2.62,1.6,1.97,1.61,1.88,1.45,1.94,1.81,1.36,2.7,1.53,2.39
a_1,1.12,1.09,1.09,1.12,0.95,2.96,2.28,2.05,1.96,2.16,1.87,1.81,1.6,3.0,1.93,2.26
h_1,1.15,1.58,1.06,1.18,1.02,0.74,3.45,2.32,1.95,2.14,2.31,1.83,2.06,2.43,2.16,3.22
g_1,0.99,1.1,1.15,1.6,0.96,0.83,2.06,3.8,1.73,2.29,2.31,3.15,1.76,2.8,2.56,1.9
d_0,1.1,1.19,1.83,0.84,1.18,0.87,1.79,1.68,3.21,2.23,1.54,1.94,2.03,2.78,2.02,2.5
b_0,1.15,1.32,1.15,1.27,0.8,0.73,2.11,1.98,2.23,3.59,2.76,2.33,4.2,3.2,2.31,3.06
c_0,1.23,1.25,1.01,1.2,0.85,0.92,2.1,1.84,2.38,4.0,3.52,2.27,3.02,3.27,2.21,2.98
f_0,0.88,1.0,1.26,1.24,1.3,0.82,2.21,2.06,2.32,2.41,2.47,3.72,2.54,3.09,4.2,2.72
a_0,1.07,1.34,1.12,1.24,1.24,0.63,1.99,1.7,2.5,2.17,2.27,1.97,3.64,3.28,2.01,3.28
h_0,1.19,1.45,1.12,1.25,1.02,0.85,1.62,2.39,2.03,2.21,2.1,2.01,2.0,2.13,1.83,3.18
e_0,0.94,1.4,1.23,1.24,1.06,0.64,1.97,1.81,2.23,2.57,2.32,2.28,2.6,3.52,3.82,3.09
g_0,1.2,0.91,1.16,1.55,1.0,0.88,1.89,1.37,2.25,2.62,2.32,2.87,2.46,2.67,2.15,2.23
