,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.66,0.43,0.42,0.33,0.28,0.3,0.23,0.27,0.25,0.23,0.13,0.25,0.21,0.15,0.23
e_1,0.48,0.95,0.44,0.52,0.33,0.3,0.36,0.28,0.46,0.31,0.3,0.28,0.25,0.2,0.17,0.22
d_1,0.53,0.48,0.95,0.35,0.38,0.28,0.36,0.23,0.21,0.47,0.3,0.28,0.28,0.19,0.23,0.23
c_1,0.46,0.43,0.51,0.94,0.69,0.32,0.28,0.24,0.24,0.18,0.24,0.25,0.24,0.19,0.18,0.24
b_1,0.53,0.47,0.48,0.4,0.94,0.59,0.33,0.26,0.33,0.35,0.19,0.29,0.3,0.16,0.23,0.24
a_1,0.63,0.58,0.59,0.47,0.34,0.94,0.41,0.42,0.3,0.33,0.33,0.24,0.33,0.21,0.22,0.25
h_1,1.0,0.66,0.69,0.72,0.54,0.39,0.75,0.5,0.46,0.43,0.45,0.41,0.34,0.29,0.36,0.48
g_1,0.71,0.78,1.02,0.71,0.65,0.39,0.51,0.75,0.45,0.47,0.48,0.61,0.35,0.35,0.33,0.39
d_0,0.82,0.69,0.62,1.25,0.63,0.49,0.47,0.46,0.67,0.35,0.41,0.38,0.47,0.32,0.34,0.37
c_0,0.89,0.78,0.71,0.7,0.54,0.48,0.6,0.45,0.59,0.64,0.78,0.4,0.52,0.37,0.4,0.45
b_0,0.96,0.75,0.84,0.77,0.63,0.39,0.58,0.49,0.52,0.42,0.68,0.46,0.47,0.59,0.38,0.41
f_0,0.89,0.67,0.88,0.78,0.7,0.64,0.54,0.42,0.56,0.6,0.44,0.66,0.48,0.37,0.63,0.41
h_0,1.15,0.84,0.93,0.8,0.68,0.54,0.5,0.58,0.49,0.51,0.52,0.43,0.4,0.43,0.31,0.6
a_0,0.85,0.92,0.97,0.87,0.9,0.36,0.67,0.58,0.6,0.6,0.47,0.55,0.51,0.62,0.45,0.45
e_0,1.03,0.62,0.94,0.98,0.78,0.63,0.61,0.54,0.56,0.58,0.6,0.43,0.69,0.37,0.61,0.52
g_0,0.86,0.84,1.32,0.85,0.75,0.56,0.52,0.36,0.52,0.59,0.51,0.61,0.46,0.43,0.4,0.36
