,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10822.53,3694.0,5593.88,9599.71,12918.45,46878.47,5211369.45,22359776.58,9744748.5,16188149.45,40628294.79,43728162.2,189003028.24,198530601.07,200171777.54,344528318.88
d_1,3730.6,14132.02,5935.06,5760.88,12402.65,47813.7,4618463.11,8969549.88,10894846.96,30347832.86,46419603.1,49281661.08,203652119.5,172725340.99,252346148.89,427636426.01
f_1,6398.68,4604.81,15486.11,6872.27,12331.85,52406.61,4095253.28,12775074.38,9455595.75,14491208.43,36657922.72,23719435.26,193042689.34,183416295.66,160126020.95,300843806.47
c_1,3623.97,4518.58,5485.01,21776.07,23969.19,57563.86,4666662.29,13053186.22,9996583.57,8362401.12,24747520.4,40047876.19,168912704.86,164766321.99,214499437.7,337078617.39
b_1,3691.58,5189.31,5574.06,6861.32,43432.85,121309.85,4241963.73,10935705.55,10293180.38,15764704.56,18757724.38,38302046.28,175815815.52,108408534.87,205723287.42,313485162.07
a_1,4142.83,5495.61,6449.96,7731.68,10051.06,274520.2,4810612.83,12281899.11,11926641.44,17174401.35,34068028.87,41457475.96,201375902.51,113611582.05,227421990.72,345925373.89
h_1,4059.77,5995.94,8695.55,7570.26,12878.6,50479.89,9798386.45,11794214.76,14629123.13,16877199.36,42030840.62,40284179.39,144411493.16,207270409.19,229906631.75,449061096.65
d_0,4378.01,3763.86,6004.61,14786.37,14312.45,59997.91,5493333.11,22000150.64,11111524.72,12181478.45,43559023.91,37763496.41,202961411.08,209923063.45,225326079.25,354256478.33
g_1,3817.69,8081.92,5075.6,7718.62,13379.07,57356.76,4751383.99,11596552.61,28069820.31,18997595.85,37837579.3,81349342.04,172949407.55,187472864.81,283161840.23,320871361.08
c_0,4159.95,6382.0,7372.5,5981.67,10248.48,61811.94,5161838.87,15613482.04,12079156.03,32192240.46,79444142.31,49992004.72,255552373.53,234279784.1,282039451.39,387650988.23
b_0,4672.49,5583.3,6748.15,9186.84,8925.31,42220.75,5773906.57,15333438.32,12994833.99,18375609.85,72541028.49,52727177.66,224428483.4,396447993.69,282995004.56,383020893.24
f_0,3830.72,6548.39,4482.58,8420.39,14002.44,65230.5,5352675.14,16013540.04,13586363.78,20778992.28,43856191.12,91647279.23,194337513.56,234900030.78,572781339.33,434181124.28
h_0,4210.8,6486.03,7104.58,9163.75,11699.31,62149.42,3591149.0,13523690.43,15102390.6,18433752.15,38507531.87,45777362.95,165001576.92,186429344.21,241726529.25,544482074.75
a_0,4846.07,6449.69,6073.69,9420.96,14711.42,33011.84,5045662.13,15376886.08,14183683.16,16762936.01,39378730.31,45388948.96,242149589.63,378986316.37,267494995.84,349383512.1
e_0,3484.1,6998.75,6453.74,7924.69,13403.41,53835.66,5795312.55,18761693.7,12537810.57,19767178.53,49888720.77,48449388.3,272834626.88,229405379.36,592335324.13,481448957.3
g_0,3714.03,8744.19,5682.32,7715.7,12519.67,49456.96,5129458.48,13049903.74,8671449.84,22338976.68,44031897.02,64518072.55,206141718.09,198461908.9,266021614.1,293807312.41
