,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10459.99,5474.42,3516.67,4428.73,6486.43,32391.31,4584004.76,6662465.37,9360946.25,12509521.01,25115043.92,18608553.52,93620254.68,98437618.41,79402070.92,230612770.61
e_1,3036.85,11757.74,5611.23,3535.93,7413.35,37905.52,4302246.41,13379299.7,11049335.78,14814220.67,25492040.06,37960743.81,84683560.39,102001442.91,61426265.5,260309940.17
c_1,2458.12,2551.83,17917.86,4088.71,14491.42,44506.09,4237513.11,6920253.65,10218859.05,4832702.87,17372638.26,35753813.7,89113899.66,118597614.88,126138981.03,241397730.43
d_1,3206.46,2457.94,3412.91,21074.73,6479.24,34894.57,4563678.35,4484175.86,12661096.02,32240225.15,34789597.54,36090002.24,104480553.16,126671610.74,138113050.84,262855427.2
b_1,2758.17,2656.57,4471.88,3948.61,35876.32,84187.78,4645979.04,7320212.26,10267238.58,12872001.29,9990625.65,42976360.32,85332236.51,89487181.11,125601283.97,209318412.15
a_1,2772.79,3164.55,4559.69,5720.26,6497.09,294336.2,4199685.81,7826775.49,15142412.92,14474293.41,19462199.7,41049616.35,101160393.77,54566380.09,105644930.23,201226588.28
h_1,4668.87,3779.99,4980.44,6627.58,6565.88,37043.05,13534177.7,7317937.98,17938570.08,17751993.89,29300117.78,38200407.62,67559795.06,128656327.22,142650815.35,398742169.42
d_0,3576.59,3472.54,9267.75,3475.53,8947.15,48181.38,5310206.76,16253391.6,13877309.92,14121700.63,34618849.86,36121520.56,97868328.76,122391737.72,137471265.7,299460643.54
g_1,2857.15,2734.15,5065.28,10375.63,8156.01,41272.15,4541474.22,8154021.56,42790374.58,19647428.53,32347855.41,77625801.61,93166991.08,119849953.47,175255203.39,191939930.69
c_0,3783.18,3346.19,3988.5,7140.09,6603.47,47847.27,5364539.5,10953590.01,16941982.85,39385060.95,65234527.57,44679938.7,142729609.41,160450706.94,147096166.39,327526688.92
b_0,3683.84,4020.55,5708.64,6550.09,4391.06,29171.17,5725002.63,10433832.37,17461941.41,23480908.88,74587768.83,51386152.57,133758768.9,294740972.53,127775068.1,353289657.81
f_0,2129.06,3224.54,5921.98,7436.85,8719.51,47164.87,5423448.03,8931549.7,15392832.41,18499707.46,30458228.21,106096293.88,135242034.45,141614202.45,317598943.18,342919032.29
h_0,4711.52,3785.86,4746.56,6987.52,8461.69,43066.9,3374255.8,7501759.0,18382994.11,18008348.86,27644258.23,43682384.26,72753924.97,128856166.19,150151079.66,397059381.91
a_0,3545.05,3882.27,5985.23,6416.36,8100.31,23284.44,6077889.11,7581308.5,15187067.04,18823609.79,33549843.96,49858556.84,115070365.07,344706807.05,191250888.99,316838157.28
e_0,3478.54,1680.1,5869.37,8161.33,10547.71,45546.63,5806385.03,9330680.0,14004262.28,18019732.45,38132027.67,44942672.37,127716923.72,156381088.11,396062037.35,346242313.2
g_0,3458.98,2792.48,5421.52,9116.21,8590.32,58803.38,4574152.8,6779606.91,9158292.96,17413517.74,29466293.58,65485919.16,121997221.98,151558734.26,152702372.37,201740577.01
