,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.74,1.02,1.0,0.91,0.65,0.56,0.51,0.5,0.55,0.41,0.41,0.35,0.37,0.35,0.32
f_1,1.36,1.0,0.9,1.02,0.76,0.73,0.4,0.43,0.36,0.37,0.36,0.36,0.3,0.27,0.26,0.32
d_1,0.98,1.1,1.0,0.82,0.93,0.77,0.52,0.4,0.54,0.46,0.37,0.4,0.33,0.3,0.39,0.24
c_1,1.01,0.97,1.22,1.0,1.28,0.83,0.56,0.44,0.29,0.33,0.41,0.34,0.38,0.37,0.34,0.33
b_1,1.1,1.34,1.07,0.78,1.0,1.21,0.63,0.54,0.51,0.47,0.49,0.52,0.36,0.44,0.32,0.39
a_1,1.55,1.39,1.3,1.2,0.81,1.0,0.71,0.7,0.59,0.71,0.57,0.58,0.59,0.53,0.52,0.49
h_1,1.85,2.57,1.81,1.77,1.62,1.38,1.0,1.24,0.82,0.8,0.73,0.81,0.69,0.74,0.67,0.77
g_1,2.07,2.25,2.6,2.13,1.84,1.37,0.83,1.0,0.87,0.76,1.03,0.81,0.72,0.66,0.62,0.74
c_0,2.02,2.73,1.93,3.14,1.88,1.69,1.22,1.08,1.0,1.05,0.92,1.46,0.96,0.9,0.9,0.86
d_0,1.82,2.55,2.22,3.13,2.2,1.32,1.24,1.3,0.94,1.0,0.86,0.95,0.92,1.02,0.84,0.75
f_0,2.35,2.86,2.64,2.54,2.09,1.7,1.36,0.99,1.07,1.13,1.0,0.94,0.94,0.91,1.23,0.66
b_0,2.32,2.82,2.41,3.04,2.15,1.64,1.19,1.29,0.71,1.05,1.1,1.0,1.22,0.95,0.76,0.84
a_0,2.81,3.23,2.93,2.74,2.83,1.62,1.49,1.39,1.04,1.14,1.13,0.79,1.0,1.09,0.78,0.92
h_0,2.76,3.76,3.47,2.6,2.18,1.84,1.33,1.49,1.09,1.02,1.07,1.04,0.94,1.0,0.8,1.01
e_0,3.12,3.87,2.78,2.98,3.23,1.86,1.43,1.68,1.28,1.27,0.82,1.28,1.2,1.18,1.0,0.85
g_0,3.16,3.07,3.98,3.1,2.7,2.03,1.32,1.33,1.16,1.27,1.57,1.23,1.12,0.98,1.1,1.0
