,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.88,0.09,0.08,0.1,0.06,0.05,0.08,0.06,0.14,0.09,0.08,0.05,0.06,0.08,0.01,0.04
f_1,0.17,0.88,0.07,0.08,0.06,0.04,0.07,0.05,0.08,0.06,0.07,0.01,0.05,0.07,0.03,0.06
d_1,0.08,0.1,0.88,0.06,0.06,0.04,0.09,0.07,0.03,0.15,0.08,0.06,0.05,0.08,0.06,0.08
c_1,0.09,0.07,0.09,0.88,0.14,0.04,0.08,0.07,0.08,0.02,0.05,0.05,0.06,0.06,0.05,0.05
b_1,0.1,0.1,0.08,0.07,0.87,0.09,0.07,0.08,0.07,0.04,0.02,0.06,0.04,0.09,0.04,0.06
a_1,0.08,0.08,0.07,0.07,0.08,0.87,0.07,0.07,0.07,0.09,0.08,0.07,0.02,0.1,0.05,0.05
h_1,0.13,0.25,0.16,0.12,0.1,0.06,0.53,0.15,0.13,0.12,0.12,0.11,0.08,0.04,0.09,0.12
g_1,0.16,0.1,0.24,0.15,0.1,0.06,0.15,0.52,0.13,0.11,0.11,0.18,0.1,0.14,0.08,0.04
d_0,0.17,0.16,0.07,0.26,0.12,0.08,0.12,0.11,0.37,0.12,0.13,0.12,0.1,0.15,0.09,0.09
c_0,0.16,0.18,0.17,0.06,0.1,0.09,0.12,0.11,0.15,0.38,0.28,0.15,0.11,0.17,0.1,0.1
b_0,0.18,0.17,0.15,0.14,0.05,0.06,0.14,0.12,0.17,0.15,0.4,0.14,0.24,0.16,0.09,0.09
f_0,0.13,0.04,0.17,0.16,0.1,0.13,0.11,0.1,0.2,0.18,0.12,0.38,0.12,0.16,0.2,0.1
a_0,0.16,0.19,0.14,0.12,0.15,,0.13,0.1,0.13,0.17,0.15,0.15,0.34,0.16,0.11,0.11
h_0,0.15,0.23,0.16,0.16,0.09,0.08,0.04,0.1,0.11,0.12,0.12,0.09,0.09,0.04,0.09,0.13
e_0,0.08,0.17,0.15,0.18,0.11,0.11,0.16,0.12,0.15,0.14,0.14,0.13,0.09,0.14,0.35,0.09
g_0,0.12,0.19,0.27,0.14,0.09,0.04,0.12,0.04,0.12,0.15,0.13,0.18,0.09,0.15,0.09,0.04
