,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.7,1.07,0.58,0.58,0.48,0.56,0.89,0.8,0.77,0.84,0.35,1.05,0.84,0.97,0.74,0.82
e_1,0.65,2.77,0.55,0.66,0.72,0.47,0.75,0.93,1.74,1.01,1.08,1.04,1.04,0.95,0.48,1.04
d_1,0.69,0.57,2.9,0.53,0.5,0.57,0.88,0.94,0.38,1.86,1.1,1.04,1.11,1.03,1.16,1.04
c_1,0.58,0.56,0.61,3.26,1.13,0.44,0.8,0.84,0.81,0.18,1.05,0.66,0.83,0.9,0.99,0.87
b_1,0.6,0.61,0.6,0.62,3.6,1.23,1.05,0.8,1.11,0.65,0.8,0.33,0.94,0.55,0.88,0.81
a_1,0.74,0.54,0.69,0.56,0.59,5.23,1.02,0.86,0.63,0.93,0.92,0.9,1.11,0.3,0.94,0.92
h_1,1.02,0.61,0.81,0.77,0.65,0.86,3.08,1.39,1.07,0.82,0.96,1.08,0.58,1.06,1.16,1.5
g_1,0.75,0.65,1.09,0.76,0.62,0.79,1.09,3.36,0.92,1.0,1.59,1.12,0.96,1.29,1.21,0.59
d_0,0.69,0.76,0.35,1.5,0.75,0.81,1.1,1.21,2.36,0.72,1.35,0.99,1.14,1.33,0.92,1.14
c_0,0.86,0.71,0.92,0.49,0.59,0.59,1.19,0.99,1.03,2.47,1.16,2.54,1.34,1.63,1.36,1.34
f_0,0.43,0.59,0.98,0.96,0.78,0.7,1.19,1.03,1.1,1.34,2.78,0.97,1.28,1.02,2.61,1.59
b_0,0.82,0.59,0.91,0.95,0.34,0.57,1.11,1.13,1.28,1.2,1.24,3.02,1.44,2.6,1.23,1.43
h_0,1.16,0.79,0.81,0.73,0.58,0.64,0.69,1.69,1.02,1.07,1.03,1.29,0.69,1.2,0.98,1.74
a_0,0.8,0.61,1.12,0.8,0.78,0.26,1.06,1.07,1.06,1.06,1.18,1.07,1.37,3.53,1.48,1.59
e_0,0.83,0.39,0.74,0.79,0.81,0.93,1.5,0.92,1.47,1.2,1.3,1.35,1.48,1.29,3.58,1.03
g_0,0.59,0.65,1.17,0.79,0.77,0.75,1.05,0.85,0.88,1.38,1.89,1.32,1.09,1.23,1.52,0.75
