,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.4,1.09,1.18,1.56,1.19,1.23,2.48,2.38,4.19,2.75,2.7,2.75,3.24,3.67,1.81,3.08
f_1,1.85,2.44,1.17,1.2,1.04,1.1,2.02,2.04,2.49,2.51,2.6,1.66,2.35,2.64,2.11,3.04
d_1,1.13,1.29,2.56,1.04,1.18,1.2,2.54,2.25,2.15,4.31,3.16,2.94,2.83,3.22,3.02,3.39
c_1,1.1,1.18,1.34,2.6,2.05,1.11,2.38,2.22,2.1,1.51,1.97,2.42,2.69,2.96,2.65,3.03
b_1,1.2,1.4,1.24,0.99,2.76,1.99,2.25,2.6,2.49,2.05,1.71,2.93,2.0,3.77,2.65,3.57
a_1,1.19,1.35,1.2,1.26,1.08,3.33,2.62,2.76,2.39,2.81,2.95,2.57,2.81,3.79,3.29,3.73
h_1,1.21,1.75,1.37,1.38,1.28,1.1,4.07,3.36,2.51,2.66,2.82,3.09,2.87,2.77,2.97,4.84
g_1,1.29,1.18,1.81,1.48,1.27,1.08,2.4,4.41,3.11,2.74,2.72,4.16,3.07,3.93,3.1,2.64
d_0,1.19,1.29,1.1,2.29,1.4,1.31,2.7,2.59,4.0,2.29,2.72,2.88,3.02,3.64,3.49,3.58
c_0,1.43,1.34,1.2,1.33,1.3,1.25,2.77,2.74,3.46,4.23,5.1,3.67,3.86,4.42,3.36,3.88
b_0,1.36,1.41,1.3,1.61,1.08,1.04,2.63,2.64,3.13,2.51,4.4,3.28,5.59,4.11,3.27,3.7
f_0,1.19,1.08,1.38,1.44,1.14,1.77,2.51,2.36,3.6,3.21,2.73,4.75,3.46,4.45,5.97,3.6
a_0,1.32,1.55,1.43,1.32,1.65,0.91,2.89,2.31,2.96,2.76,2.63,3.3,4.56,4.01,3.88,4.16
h_0,1.22,1.85,1.45,1.48,1.23,1.25,2.11,2.59,2.68,2.52,2.79,2.65,2.58,2.91,3.52,4.6
e_0,1.21,1.68,1.39,1.46,1.3,1.31,3.19,2.57,2.71,2.67,2.96,2.63,2.81,3.55,5.03,4.05
g_0,1.13,1.37,2.0,1.42,1.14,1.14,2.28,2.5,2.51,3.03,2.74,4.29,2.58,3.24,3.37,3.07
