,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.43,1.62,1.15,1.22,1.16,0.92,1.76,2.03,2.21,1.93,2.38,1.54,2.14,2.51,3.19,1.74
e_1,1.14,2.43,1.02,1.23,1.08,1.03,2.62,2.27,4.15,2.69,3.03,3.15,2.8,3.12,3.31,2.04
d_1,1.16,1.08,2.5,1.02,1.03,1.29,2.09,1.98,1.58,4.05,3.05,2.59,2.41,3.5,2.74,3.09
c_1,1.15,1.14,1.09,2.57,1.79,0.98,1.94,1.89,1.99,1.22,1.95,2.37,2.43,2.86,2.78,2.15
b_1,1.04,1.05,1.22,0.99,2.78,1.9,2.21,2.21,2.58,2.11,1.37,2.93,2.07,3.05,2.9,2.76
a_1,1.25,1.18,1.18,1.16,0.98,3.18,2.73,2.41,2.36,2.61,2.25,2.33,2.04,3.54,2.95,2.5
h_1,1.63,1.05,1.31,1.28,1.1,1.06,4.05,3.08,2.91,2.8,2.53,2.54,2.42,2.54,4.25,3.05
g_1,1.15,1.24,1.92,1.39,1.03,1.14,1.98,4.4,1.73,2.43,2.58,3.32,2.17,3.08,2.98,2.61
d_0,1.29,0.99,0.94,2.09,1.29,1.24,2.45,2.75,3.91,2.21,2.57,2.71,2.88,3.25,3.25,2.74
c_0,1.47,1.24,1.14,1.02,1.08,1.19,2.31,2.91,3.1,4.03,5.31,3.2,3.42,3.63,3.52,2.94
b_0,1.42,1.19,1.22,1.44,1.17,1.12,2.56,2.47,2.96,2.09,4.12,2.4,5.39,3.89,3.71,3.04
f_0,1.14,1.03,1.41,1.4,1.11,1.38,2.74,2.23,3.12,2.69,3.07,4.46,2.84,3.15,3.3,5.93
a_0,1.53,1.18,1.31,1.37,1.3,0.72,2.63,2.82,2.58,2.3,2.63,2.64,4.75,3.43,3.41,2.11
h_0,1.87,1.28,1.31,1.27,1.11,0.93,1.74,3.22,2.51,2.42,2.53,2.79,2.79,2.7,4.16,2.95
g_0,1.15,1.18,1.71,1.27,1.21,1.33,2.28,1.81,2.8,2.42,2.51,4.01,3.1,3.24,2.72,3.26
e_0,1.48,1.04,1.27,1.6,1.13,1.16,2.34,2.52,2.81,2.88,2.86,1.66,3.52,3.68,3.55,5.31
