,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.41,0.18,0.17,0.18,0.12,0.19,0.17,0.15,0.2,0.16,0.07,0.18,0.1,0.1,0.15
e_1,0.27,0.89,0.19,0.26,0.16,0.13,0.21,0.18,0.13,0.34,0.17,0.16,0.2,0.12,0.07,0.17
d_1,0.23,0.2,0.9,0.13,0.19,0.15,0.19,0.41,0.17,0.12,0.22,0.18,0.24,0.15,0.14,0.17
c_1,0.2,0.18,0.2,0.89,0.38,0.1,0.18,0.06,0.15,0.15,0.13,0.14,0.2,0.14,0.12,0.18
b_1,0.22,0.19,0.25,0.15,0.89,0.27,0.21,0.18,0.15,0.19,0.07,0.16,0.2,0.09,0.1,0.17
a_1,0.24,0.21,0.23,0.22,0.16,0.88,0.26,0.19,0.13,0.24,0.16,0.17,0.22,0.08,0.1,0.17
h_1,0.39,0.26,0.26,0.24,0.19,0.18,0.57,0.23,0.23,0.21,0.22,0.16,0.16,0.19,0.12,0.25
c_0,0.32,0.27,0.3,0.17,0.18,0.15,0.24,0.46,0.25,0.24,0.44,0.23,0.28,0.21,0.15,0.19
g_1,0.2,0.25,0.46,0.22,0.23,0.14,0.2,0.26,0.56,0.18,0.19,0.32,0.25,0.14,0.12,0.14
d_0,0.29,0.29,0.18,0.46,0.2,0.14,0.28,0.19,0.18,0.43,0.22,0.16,0.27,0.16,0.14,0.16
b_0,0.33,0.27,0.28,0.27,0.12,0.12,0.27,0.28,0.2,0.23,0.46,0.21,0.27,0.37,0.16,0.18
f_0,0.18,0.19,0.29,0.27,0.26,0.15,0.26,0.31,0.22,0.24,0.25,0.43,0.3,0.24,0.36,0.21
h_0,0.39,0.25,0.3,0.26,0.19,0.11,0.16,0.25,0.25,0.23,0.2,0.19,0.15,0.15,0.16,0.24
a_0,0.32,0.26,0.3,0.31,0.21,0.06,0.28,0.24,0.24,0.24,0.24,0.22,0.27,0.39,0.19,0.19
e_0,0.26,0.15,0.28,0.3,0.25,0.15,0.27,0.29,0.25,0.25,0.27,0.22,0.28,0.18,0.4,0.24
g_0,0.21,0.24,0.43,0.25,0.18,0.16,0.25,0.24,0.17,0.24,0.26,0.35,0.22,0.16,0.17,0.13
