,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.41,1.41,1.37,1.74,1.43,1.61,2.97,4.86,3.25,3.0,3.38,3.72,3.92,3.48,4.32,3.03
f_1,2.12,2.44,1.42,1.4,1.41,1.35,2.61,3.29,3.06,3.05,2.88,2.66,3.43,3.24,3.95,2.43
d_1,1.47,1.63,2.47,1.26,1.43,1.34,2.82,2.92,4.69,2.82,3.7,3.36,4.11,3.49,3.92,3.9
c_1,1.32,1.56,1.48,2.61,2.27,1.6,2.78,2.68,1.96,2.44,2.56,3.12,3.74,2.96,3.93,3.57
b_1,1.55,1.55,1.46,1.45,2.87,2.27,2.84,3.13,3.11,2.69,2.24,3.05,4.17,2.9,3.57,3.48
a_1,1.4,1.71,1.67,1.54,1.31,3.5,3.19,2.98,3.24,2.98,3.8,3.03,4.67,2.66,4.14,3.21
h_1,1.55,1.87,1.61,1.56,1.4,1.27,4.15,2.92,3.04,3.74,3.5,3.4,3.67,3.21,5.1,3.68
d_0,1.38,1.52,1.23,2.56,1.64,1.54,3.01,4.14,2.78,3.13,3.49,3.61,4.42,3.39,4.13,3.38
c_0,1.53,1.69,1.5,1.61,1.33,1.37,3.18,3.62,4.26,3.15,5.56,3.79,4.94,4.55,4.73,3.75
g_1,1.4,1.4,2.15,1.59,1.41,1.5,2.53,2.94,3.62,4.61,3.37,4.09,3.99,3.51,4.06,3.94
b_0,1.41,1.76,1.53,1.78,1.44,1.21,3.3,3.54,2.94,3.37,4.54,3.82,4.63,5.96,4.38,3.94
f_0,1.14,1.43,1.72,1.75,1.71,1.66,3.37,3.36,3.37,3.06,3.51,4.85,4.61,3.75,4.3,6.9
h_0,1.52,1.93,1.68,1.61,1.52,1.61,2.48,3.18,3.19,3.73,3.2,3.14,3.77,3.43,5.2,3.45
a_0,1.46,1.67,1.66,1.58,1.67,1.28,3.04,3.6,3.49,3.2,3.37,3.78,4.14,5.24,4.7,3.79
g_0,1.41,1.54,2.05,1.49,1.64,1.63,2.61,3.02,2.95,2.69,3.38,4.6,4.07,2.87,3.64,4.26
e_0,1.05,1.77,1.76,1.78,1.59,1.78,3.34,3.14,3.22,3.09,3.52,2.99,4.57,3.44,4.27,5.31
