,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12.28,0.65,0.49,0.97,0.59,0.6,0.88,1.07,0.73,2.06,1.09,1.14,0.98,1.01,0.71,1.08
f_1,1.61,12.34,0.59,0.65,0.52,0.45,0.99,0.8,0.74,0.9,0.92,0.36,0.86,0.96,0.76,0.78
d_1,0.56,0.71,15.1,0.44,0.7,0.75,0.92,0.95,2.61,0.52,1.25,0.93,1.16,1.03,1.07,0.93
c_1,0.55,0.61,0.65,15.35,1.8,0.56,0.71,0.75,0.39,0.84,0.51,1.06,0.83,0.82,1.1,0.93
b_1,0.52,0.59,0.71,0.63,14.83,1.82,0.92,0.8,0.88,0.77,0.53,1.0,1.07,0.61,0.98,0.94
a_1,0.6,0.77,0.8,0.59,0.53,22.22,1.17,0.84,1.07,1.04,0.96,1.12,1.02,0.77,0.93,1.21
h_1,0.7,1.2,0.76,0.83,0.57,0.68,3.95,1.64,0.93,0.87,1.19,1.02,0.7,1.16,0.89,1.5
g_1,0.5,0.66,1.57,0.76,0.64,0.64,0.99,4.56,1.14,0.85,1.1,2.2,1.33,1.08,1.34,0.8
c_0,0.75,0.9,0.89,0.56,0.46,0.84,1.29,0.92,2.6,1.03,3.9,1.16,1.17,1.56,1.14,1.11
d_0,0.8,0.8,0.41,2.26,0.78,0.57,1.06,1.05,0.62,2.26,1.14,1.14,1.02,0.98,1.15,1.17
b_0,0.67,0.86,1.03,0.68,0.45,0.58,1.19,1.41,1.32,1.0,2.84,1.29,1.26,3.52,1.14,1.15
f_0,0.59,0.55,0.96,0.95,0.76,0.83,1.07,1.38,1.05,1.08,1.22,2.55,1.32,1.2,2.56,0.94
h_0,0.73,1.3,1.01,0.77,0.6,0.61,0.73,1.4,1.04,0.93,1.16,0.95,0.8,0.97,1.01,1.77
a_0,0.78,0.8,0.93,0.68,0.9,0.4,1.16,1.36,1.25,1.12,1.19,1.12,1.31,3.13,1.14,1.12
e_0,0.41,0.89,0.81,0.98,0.79,0.74,1.33,1.17,1.22,1.26,1.19,1.27,1.2,0.84,3.23,1.24
g_0,0.53,0.64,1.55,0.98,0.79,0.7,0.81,0.79,1.1,0.75,1.31,2.26,0.92,1.23,1.08,0.65
