,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.65,0.68,1.1,1.31,1.14,0.99,0.52,0.52,0.53,0.37,0.49,0.42,0.34,0.45,0.33,0.38
f_1,1.25,0.65,0.96,1.12,1.06,0.81,0.38,0.47,0.5,0.4,0.49,0.36,0.26,0.32,0.39,0.33
d_1,1.19,1.28,0.64,1.07,1.04,0.94,0.46,0.5,0.35,0.46,0.38,0.44,0.31,0.38,0.34,0.22
c_1,0.88,1.22,1.4,0.64,1.26,0.94,0.51,0.27,0.48,0.45,0.38,0.33,0.33,0.34,0.34,0.35
b_1,1.15,1.42,1.19,0.72,0.62,1.46,0.57,0.43,0.55,0.59,0.42,0.56,0.39,0.46,0.39,0.34
a_1,1.45,1.65,1.42,1.43,0.73,0.57,0.68,0.57,0.58,0.51,0.45,0.7,0.39,0.55,0.64,0.4
h_1,1.7,1.91,1.74,1.66,1.6,1.59,0.56,0.62,0.94,0.62,0.59,0.58,0.54,0.54,0.49,0.55
d_0,1.24,1.73,2.26,2.23,1.97,1.57,0.96,0.58,0.99,0.6,0.73,0.67,0.54,0.69,0.68,0.64
g_1,1.96,1.93,2.14,2.05,1.69,1.72,0.61,0.64,0.53,0.69,0.73,0.59,0.44,0.52,0.52,0.5
c_0,2.05,1.85,1.2,3.0,1.76,2.07,0.93,1.0,0.89,0.56,0.72,0.86,0.58,0.64,0.64,0.56
f_0,1.73,2.37,2.11,2.05,2.07,1.7,0.97,0.7,0.66,0.72,0.56,0.71,0.58,0.88,0.71,0.42
b_0,1.85,2.06,1.69,2.81,2.38,1.67,0.96,0.74,0.98,0.46,0.69,0.55,0.65,0.69,0.76,0.66
h_0,2.13,2.31,2.2,2.22,2.02,1.82,1.19,0.84,1.17,0.79,0.86,0.83,0.75,0.66,0.76,0.7
e_0,2.55,3.28,2.22,2.51,1.98,1.93,1.07,0.92,1.09,0.94,0.51,0.79,0.73,0.53,0.91,0.63
a_0,2.39,2.18,2.28,2.91,2.68,2.37,1.07,0.78,1.16,0.71,0.79,0.48,0.78,0.61,0.55,0.59
g_0,2.33,2.49,2.45,2.28,2.2,2.15,0.84,0.89,1.28,0.85,0.95,0.81,0.59,0.74,0.86,0.74
