,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.43,1.48,1.64,1.66,1.62,1.63,0.39,0.59,0.4,0.37,0.73,0.34,0.18,0.31,0.36,0.4
d_1,2.01,0.42,2.12,1.76,1.77,1.42,0.51,0.33,0.61,0.33,0.31,0.29,0.22,0.16,0.3,0.27
e_1,0.93,1.78,0.42,1.96,1.92,2.0,0.57,0.54,0.41,0.39,0.46,0.44,0.28,0.27,0.39,0.89
c_1,1.77,2.31,1.59,0.41,1.7,1.53,0.39,0.46,0.21,0.65,0.38,0.28,0.3,0.25,0.35,0.34
b_1,2.29,1.98,1.83,0.97,0.4,2.32,0.61,0.69,0.41,0.48,0.37,0.87,0.27,0.32,0.4,0.37
a_1,2.64,3.07,2.03,3.33,1.19,0.32,0.81,0.62,0.55,0.41,0.44,0.54,0.36,0.36,1.03,0.46
h_1,2.69,2.96,2.73,2.72,2.44,3.18,0.33,0.89,0.52,0.55,0.54,0.53,0.7,0.37,0.45,0.44
g_1,3.87,2.76,3.05,3.56,3.32,2.67,0.75,0.3,0.64,0.56,0.52,0.72,0.35,0.63,0.64,0.53
d_0,3.0,5.79,1.82,3.43,3.52,3.28,0.94,1.19,0.38,0.62,0.7,0.59,0.52,0.51,0.59,0.68
c_0,4.26,1.8,3.29,7.14,3.51,3.09,1.05,0.87,1.02,0.35,0.62,0.69,0.5,0.5,0.64,0.71
f_0,6.35,2.87,3.36,3.7,3.11,2.82,0.99,0.66,0.99,0.55,0.34,0.67,0.43,0.29,0.59,0.61
b_0,4.11,2.65,2.95,4.44,6.82,3.04,1.04,0.9,0.77,0.39,0.66,0.35,0.5,0.46,0.68,0.57
h_0,4.12,3.32,3.45,3.6,4.33,3.64,2.33,1.07,0.91,0.69,0.77,0.67,0.94,0.65,0.7,0.67
g_0,4.5,3.82,4.44,4.36,3.77,4.27,0.85,1.8,0.86,0.78,0.83,0.79,0.49,1.01,0.77,0.68
a_0,3.81,3.73,3.93,4.77,5.77,9.34,1.27,1.48,0.78,0.69,0.86,0.43,0.61,0.5,0.3,0.77
e_0,7.2,3.85,6.48,3.99,3.96,3.84,0.99,1.05,0.9,0.7,0.46,0.73,0.72,0.57,1.34,0.3
