,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,15.49,1.05,0.46,0.62,0.51,0.41,0.88,0.88,0.85,0.71,0.92,0.28,0.87,0.62,0.66,0.78
e_1,0.64,16.95,0.44,0.66,0.42,0.57,0.84,1.98,0.77,0.88,0.82,1.04,0.95,0.59,0.97,0.92
d_1,0.63,0.51,18.92,0.31,0.51,0.56,0.92,0.33,0.92,2.3,1.19,1.02,1.11,1.33,1.35,0.94
c_1,0.52,0.46,0.48,20.4,1.21,0.43,0.85,1.0,0.7,0.24,0.79,0.88,1.12,0.84,0.8,0.77
b_1,0.41,0.54,0.63,0.55,22.24,1.38,0.84,0.75,0.76,0.71,0.3,0.8,0.63,0.55,0.51,0.9
a_1,0.57,0.45,0.64,0.56,0.48,31.39,0.81,0.71,0.84,0.95,0.99,1.33,1.13,1.15,0.54,1.26
h_1,1.11,0.45,0.8,0.66,0.52,0.53,5.72,1.06,1.83,1.2,1.16,0.91,0.62,1.44,1.22,1.66
d_0,0.77,0.66,0.28,1.86,0.64,0.58,1.12,3.11,0.79,0.82,1.02,1.15,1.26,1.37,0.88,1.35
g_1,0.56,0.5,1.35,0.65,0.63,0.63,0.84,0.93,6.56,0.97,1.56,2.63,1.15,1.27,1.34,0.84
c_0,0.76,0.51,0.85,0.39,0.58,0.68,1.38,0.96,1.81,3.66,3.12,1.32,1.45,1.29,1.95,1.47
b_0,0.69,0.79,0.89,0.73,0.26,0.45,1.34,1.19,1.48,1.17,3.79,1.49,1.13,1.57,3.63,1.12
f_0,0.32,0.5,1.07,0.67,0.95,0.63,0.88,1.01,1.37,1.27,1.34,4.17,1.68,3.36,1.22,1.51
h_0,1.02,0.6,0.65,0.7,0.65,0.96,0.59,1.18,1.49,1.21,1.37,1.31,0.78,1.46,1.27,1.69
e_0,0.68,0.28,0.84,0.74,0.86,0.61,1.44,1.4,1.48,1.35,1.51,1.49,1.46,5.56,1.03,2.46
a_0,0.74,0.55,0.89,0.84,0.65,0.2,1.34,0.94,1.06,1.35,1.28,1.33,1.23,1.21,4.94,1.21
g_0,0.46,0.46,1.63,0.64,0.8,0.64,1.26,1.03,0.98,1.19,1.23,2.66,1.23,1.27,1.47,0.93
