,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.8,0.77,0.44,0.73,0.53,0.57,0.95,1.59,0.83,0.82,1.03,0.92,0.83,1.06,0.64,1.08
f_1,1.05,2.81,0.56,0.64,0.52,0.58,0.7,0.91,0.85,0.88,0.9,0.32,0.88,0.78,0.75,0.78
d_1,0.55,0.7,3.08,0.45,0.73,0.58,0.92,0.4,0.91,1.85,1.09,0.97,1.15,0.94,1.15,0.95
c_1,0.54,0.52,0.69,3.1,0.96,0.49,0.89,0.87,0.89,0.38,0.74,1.14,1.1,0.93,0.97,0.84
b_1,0.57,0.53,0.72,0.62,3.52,1.09,0.8,0.81,0.81,0.82,0.35,0.9,0.82,0.76,0.94,1.03
a_1,0.57,0.6,0.73,0.64,0.62,4.92,0.88,1.03,1.0,0.84,1.06,0.96,1.02,0.47,0.82,0.95
h_1,0.78,1.1,0.84,0.65,0.56,0.66,3.07,1.05,1.26,0.99,1.22,1.21,0.66,1.26,1.03,1.46
d_0,0.84,0.75,0.31,1.42,0.64,0.73,1.12,2.13,1.0,0.84,1.11,1.09,1.16,0.86,1.02,1.23
g_1,0.62,0.63,1.04,0.77,0.88,0.67,1.07,1.05,3.68,0.94,1.04,1.84,1.15,1.23,1.02,0.58
c_0,0.8,0.86,0.87,0.47,0.6,0.64,1.2,1.04,1.1,2.56,2.09,1.32,1.19,1.32,1.23,1.24
b_0,0.79,0.91,0.78,0.83,0.36,0.63,1.15,1.16,1.12,1.1,2.46,1.2,1.42,2.37,1.18,1.36
f_0,0.67,0.4,0.98,0.78,0.78,0.59,1.49,0.96,1.1,1.09,1.56,2.82,1.22,1.45,2.54,1.3
h_0,0.56,1.07,0.76,0.74,0.84,0.7,0.69,1.06,1.41,1.25,1.35,1.31,0.75,1.12,1.2,1.55
a_0,0.69,0.85,1.01,0.73,0.55,0.45,1.4,1.09,1.34,1.17,1.26,1.21,1.5,3.66,1.45,1.22
e_0,0.35,0.93,0.77,0.84,0.69,0.83,1.67,1.15,1.15,1.1,1.26,1.05,1.52,1.42,3.56,1.39
g_0,0.62,0.57,1.25,0.89,0.72,0.75,1.25,0.96,0.43,1.13,1.31,2.04,1.06,1.04,1.17,0.83
