,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.22,0.13,0.21,0.15,0.1,0.15,0.34,0.17,0.13,0.18,0.17,0.19,0.12,0.04,0.12
f_1,0.36,0.88,0.16,0.16,0.11,0.09,0.19,0.16,0.18,0.1,0.17,0.06,0.13,0.09,0.08,0.15
d_1,0.21,0.21,0.9,0.11,0.15,0.11,0.17,0.05,0.33,0.14,0.16,0.16,0.16,0.11,0.09,0.14
c_1,0.19,0.16,0.17,0.89,0.3,0.1,0.13,0.17,0.04,0.11,0.14,0.14,0.15,0.07,0.1,0.12
b_1,0.15,0.21,0.17,0.18,0.88,0.2,0.15,0.19,0.16,0.16,0.08,0.15,0.15,0.08,0.1,0.11
a_1,0.21,0.24,0.18,0.17,0.11,0.88,0.19,0.2,0.14,0.09,0.15,0.14,0.15,0.04,0.12,0.14
h_1,0.22,0.33,0.25,0.17,0.15,0.1,0.56,0.19,0.22,0.2,0.21,0.18,0.1,0.12,0.08,0.19
d_0,0.25,0.25,0.12,0.38,0.19,0.13,0.17,0.41,0.14,0.15,0.17,0.18,0.23,0.11,0.11,0.15
c_0,0.26,0.29,0.27,0.1,0.13,0.16,0.25,0.16,0.42,0.16,0.34,0.2,0.19,0.13,0.13,0.17
g_1,0.18,0.19,0.42,0.19,0.13,0.14,0.2,0.17,0.2,0.56,0.17,0.3,0.18,0.09,0.14,0.09
b_0,0.26,0.25,0.24,0.19,0.08,0.13,0.23,0.23,0.23,0.16,0.41,0.21,0.21,0.24,0.14,0.18
f_0,0.19,0.13,0.27,0.25,0.16,0.15,0.23,0.23,0.23,0.2,0.22,0.44,0.25,0.15,0.28,0.19
h_0,0.24,0.34,0.22,0.23,0.17,0.13,0.15,0.25,0.23,0.24,0.18,0.2,0.11,0.11,0.13,0.19
a_0,0.25,0.29,0.25,0.21,0.14,0.04,0.25,0.2,0.21,0.2,0.18,0.24,0.2,0.37,0.12,0.2
e_0,0.09,0.24,0.28,0.19,0.22,0.15,0.26,0.21,0.22,0.19,0.26,0.24,0.24,0.14,0.39,0.19
g_0,0.21,0.18,0.35,0.19,0.19,0.11,0.2,0.17,0.22,0.11,0.2,0.3,0.17,0.17,0.14,0.11
