,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,10.06,1.79,0.63,0.68,0.55,0.54,0.84,0.87,1.0,0.81,0.6,0.98,0.98,0.93,0.66,0.9
e_1,0.68,10.2,0.52,1.05,0.78,0.68,0.85,0.87,2.55,0.83,1.09,0.93,1.01,1.05,0.75,0.97
d_1,0.73,0.59,13.9,0.54,0.61,0.6,0.92,1.02,0.6,2.99,1.12,1.54,1.1,1.22,1.19,1.13
c_1,0.64,0.59,0.69,11.88,1.88,0.71,0.91,0.83,0.77,0.46,1.04,0.56,0.78,0.86,1.02,0.81
b_1,0.74,0.63,0.65,0.61,12.95,2.0,1.05,0.89,0.84,0.68,0.84,0.57,1.05,0.67,0.96,0.9
a_1,0.83,0.72,0.87,0.61,0.57,20.02,1.15,1.17,0.67,1.01,1.04,1.17,1.13,0.53,0.91,0.96
h_1,1.34,0.68,0.93,0.79,0.73,0.78,3.31,1.42,0.96,0.7,0.84,0.79,0.66,0.83,0.96,1.52
g_1,0.72,0.65,1.61,0.85,0.63,0.7,1.07,3.3,0.73,1.06,1.62,0.95,0.93,1.15,1.12,0.87
d_0,0.68,0.67,0.44,2.59,0.98,0.99,0.99,0.99,2.04,0.54,1.13,0.82,0.87,1.03,0.95,0.97
c_0,0.91,0.73,1.18,0.7,0.5,0.64,1.1,1.07,0.94,2.4,1.01,3.35,1.21,1.62,1.27,1.25
f_0,0.59,0.53,1.12,0.85,0.91,0.78,1.33,1.07,1.01,1.3,2.5,0.99,1.1,0.89,3.64,1.37
b_0,1.05,0.53,1.11,1.08,0.49,0.57,1.07,1.02,1.06,1.02,1.06,2.59,1.39,2.98,1.33,1.4
h_0,1.31,0.76,0.87,0.77,0.62,0.65,0.74,1.67,0.92,0.97,1.02,1.18,0.8,1.39,0.96,1.47
a_0,0.85,0.6,1.18,0.9,0.91,0.51,1.4,0.94,0.93,1.09,1.05,0.95,1.19,2.93,1.25,1.23
e_0,0.97,0.5,1.02,0.89,0.73,0.92,1.33,1.1,0.97,1.08,1.17,1.21,1.59,1.15,2.68,0.93
g_0,0.64,0.58,1.7,0.69,0.86,0.66,0.9,0.83,0.71,1.35,2.12,1.21,1.12,1.15,1.49,0.92
