,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.76,0.64,0.79,0.46,0.6,0.54,0.81,1.62,1.01,0.87,1.14,1.03,1.03,0.88,0.45,0.93
f_1,1.14,2.81,0.55,0.63,0.46,0.55,0.85,0.82,0.79,0.67,0.85,0.32,0.84,0.87,0.83,0.75
c_1,0.52,0.61,2.98,0.64,1.16,0.5,0.87,0.85,0.29,0.81,0.62,0.89,1.02,0.9,0.92,0.92
d_1,0.54,0.69,0.44,3.13,0.57,0.5,0.97,0.46,1.76,1.07,1.33,1.1,1.06,1.17,1.05,1.13
b_1,0.49,0.67,0.6,0.57,3.7,1.32,0.84,0.76,0.73,0.79,0.21,0.81,0.89,0.63,1.06,0.97
a_1,0.55,0.75,0.72,0.67,0.5,4.7,0.92,0.94,1.03,0.88,0.98,0.97,0.95,0.39,0.92,0.9
h_1,0.7,0.97,0.7,0.77,0.64,0.7,3.18,0.95,1.08,1.49,0.94,1.15,0.61,1.19,1.38,1.52
d_0,0.72,0.7,1.55,0.37,0.66,0.68,1.11,2.08,0.85,0.95,1.31,1.24,1.32,1.18,1.2,1.14
c_0,0.81,0.74,0.49,1.03,0.48,0.8,1.01,1.26,2.33,1.16,2.33,1.25,1.21,1.27,1.19,1.39
g_1,0.6,0.55,0.72,1.21,0.72,0.64,1.17,0.98,1.1,4.03,1.07,2.14,0.98,1.34,1.4,0.66
b_0,0.86,0.75,0.83,0.88,0.38,0.59,1.2,1.31,1.09,1.1,2.57,1.19,1.37,2.28,1.05,1.39
f_0,0.63,0.34,0.92,0.74,0.87,0.88,1.31,1.23,1.23,1.28,1.18,2.98,1.15,1.33,2.3,1.33
h_0,0.64,1.04,0.81,0.85,0.85,0.61,0.72,1.3,1.15,1.38,1.19,1.03,0.77,1.14,1.18,1.59
a_0,0.87,0.71,0.81,0.8,0.58,0.39,1.28,1.26,1.22,1.36,1.21,1.6,1.42,3.45,1.22,1.3
e_0,0.45,0.92,0.74,0.97,0.7,0.8,1.32,1.21,1.14,1.38,1.26,1.33,1.22,1.67,3.56,1.12
g_0,0.65,0.64,0.74,1.44,0.69,0.57,1.14,0.88,1.08,0.65,1.09,1.79,1.28,1.2,1.5,0.9
