,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.91,1.31,1.82,1.76,4.76,23.88,44.12,42.08,35.25,45.45,52.78,91.23,,130.29,189.44
f_1,1.1,1.0,1.24,1.54,1.88,4.15,18.82,26.21,32.12,32.03,44.92,,67.72,94.17,108.19,128.97
d_1,0.77,0.81,1.0,0.92,1.48,2.54,16.98,,18.89,34.43,37.65,47.53,57.92,101.16,89.11,78.15
c_1,0.55,0.65,1.09,1.0,1.51,3.5,16.22,12.25,25.31,,35.02,50.13,66.76,76.27,107.79,106.25
b_1,0.57,0.53,0.68,0.66,1.0,3.82,12.59,19.37,19.21,16.29,,38.08,76.4,73.09,,75.98
a_1,0.21,0.24,0.39,0.29,0.26,1.0,5.3,9.07,,11.78,12.67,10.86,22.54,,,
h_1,0.04,0.05,0.06,0.06,0.08,0.19,1.0,1.42,1.84,1.33,2.04,1.6,,4.61,4.45,8.62
d_0,0.02,0.04,,0.08,0.05,0.11,0.7,1.0,1.18,1.22,1.57,2.12,2.26,3.21,5.89,5.03
g_1,0.02,0.03,0.05,0.04,0.05,,0.54,0.85,1.0,1.01,1.28,1.6,2.05,3.93,4.58,
c_0,0.03,0.03,0.03,,0.06,0.08,0.75,0.82,0.99,1.0,1.83,1.32,2.39,3.29,,4.57
b_0,0.02,0.02,0.03,0.03,,0.08,0.49,0.64,0.78,0.55,1.0,1.01,1.88,2.63,3.73,3.7
f_0,0.02,,0.02,0.02,0.03,0.09,0.63,0.47,0.63,0.76,0.99,1.0,1.61,2.42,,2.89
h_0,0.01,0.01,0.02,0.01,0.01,0.04,,0.44,0.49,0.42,0.53,0.62,,1.32,1.45,2.02
e_0,,0.01,0.01,0.01,0.01,,0.22,0.31,0.25,0.3,0.38,0.41,0.76,1.0,,1.51
a_0,0.01,0.01,0.01,0.01,,,0.22,0.17,0.22,,0.27,,0.69,,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,,0.12,0.2,,0.22,0.27,0.35,0.5,0.66,,
