,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.67,7.06,5.95,4.65,5.69,,2.65,1.85,2.33,,2.28,1.86,1.89,2.4,1.77,1.1
e_1,6.11,0.67,3.7,4.98,5.21,5.3,2.96,2.79,1.98,2.98,1.85,2.32,1.56,2.37,,1.88
f_1,5.29,7.16,0.66,6.67,5.76,5.19,2.11,3.86,1.96,1.94,2.18,,1.27,1.93,1.98,1.46
c_1,8.08,5.84,4.92,0.64,7.69,6.71,3.04,2.24,,1.37,2.66,2.69,1.72,,,2.2
b_1,6.9,8.24,6.41,4.0,0.62,,2.48,2.57,2.94,2.05,,2.44,1.27,2.63,2.94,2.04
a_1,,6.42,7.33,7.82,,0.57,2.76,3.8,2.44,2.62,3.61,2.31,3.34,,,1.66
h_1,4.55,5.24,5.93,4.37,4.31,5.54,0.62,2.76,2.0,1.79,1.59,1.5,,1.37,1.7,1.54
g_1,5.9,5.42,5.62,5.73,5.19,4.3,1.78,0.59,2.39,1.88,2.21,2.5,1.14,1.91,2.3,
c_0,3.29,5.79,5.11,,4.36,6.08,2.31,1.8,0.74,1.91,1.84,1.7,1.3,1.15,1.54,1.16
d_0,,2.84,5.45,5.52,4.99,4.01,2.05,2.59,1.73,0.71,2.28,1.75,1.33,2.07,1.47,1.55
b_0,4.83,4.84,4.7,5.43,,5.08,2.55,2.02,1.06,1.65,0.69,1.68,2.16,2.37,1.9,2.12
f_0,5.26,6.65,,4.25,5.55,3.93,2.68,1.51,1.83,1.99,2.5,0.69,1.86,1.66,1.84,0.86
h_0,4.28,4.5,4.85,4.7,7.29,3.25,,2.25,1.51,1.77,1.4,1.38,,1.3,1.43,1.77
a_0,5.21,4.8,6.11,,6.18,,3.1,2.84,2.55,2.25,1.13,1.85,1.77,0.65,,1.64
e_0,5.72,,6.41,,4.25,,2.5,2.02,2.45,1.84,2.67,1.29,1.88,,0.62,2.09
g_0,5.17,5.15,7.43,3.82,4.21,4.78,1.6,,2.03,1.91,1.3,2.54,1.14,1.95,1.56,
