,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.05,2.25,2.16,1.92,1.85,1.7,0.72,0.54,0.89,0.66,0.6,0.55,0.47,0.58,0.32,0.47
f_1,1.93,1.06,2.38,2.18,1.92,1.67,0.6,0.8,0.65,0.56,0.52,0.69,0.34,0.46,0.53,0.41
e_1,2.43,1.38,1.06,2.26,2.01,1.88,0.91,0.83,0.78,0.69,0.7,0.67,0.48,0.55,0.45,0.69
c_1,3.01,2.36,2.16,1.06,2.56,1.91,0.9,0.83,0.46,0.77,0.61,0.75,0.61,0.55,0.48,0.61
b_1,2.63,2.98,2.42,1.58,1.06,2.71,0.99,0.93,0.78,0.82,1.2,0.75,0.61,0.81,0.63,0.66
a_1,3.01,4.22,3.33,3.69,1.87,1.07,1.54,1.56,1.14,1.04,1.17,0.9,0.92,1.6,0.88,0.94
h_1,5.78,6.03,5.0,5.16,6.1,4.18,1.32,2.28,1.62,1.36,1.51,1.43,1.76,1.36,1.43,1.44
g_1,6.31,6.26,6.15,5.74,6.97,4.54,1.79,1.33,1.82,1.94,1.88,1.96,1.19,1.58,1.44,1.58
d_0,8.09,6.74,4.05,7.95,6.36,5.54,2.39,2.66,1.49,1.84,2.15,1.56,1.66,1.45,1.47,1.82
c_0,4.11,7.39,6.35,12.42,6.48,5.75,2.93,2.52,2.55,1.53,2.51,1.85,1.67,1.67,1.3,1.78
b_0,6.37,8.13,6.63,9.3,8.34,5.22,2.86,2.43,1.97,1.25,1.47,1.83,1.51,1.85,1.51,1.5
f_0,7.03,11.33,7.59,7.15,7.13,7.04,3.05,2.04,2.73,2.35,2.59,1.51,1.86,2.25,1.25,2.87
h_0,8.73,10.01,9.84,7.78,9.06,6.75,3.89,3.39,2.74,2.56,2.47,2.56,2.46,2.16,2.08,1.92
a_0,8.7,10.68,10.05,8.72,9.37,8.84,3.58,4.1,3.51,2.56,1.91,2.21,2.21,1.57,2.12,2.27
g_0,11.3,10.11,10.48,11.58,9.19,7.12,3.21,5.74,3.0,3.35,3.05,3.2,1.9,2.76,2.7,2.79
e_0,10.02,15.97,14.88,10.48,9.81,8.77,3.61,3.44,2.66,2.72,3.91,1.53,2.79,2.99,2.01,1.61
