,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10127.17,302.75,201.42,272.05,416.36,1546.78,228565.33,367000.21,400581.03,593517.42,1348458.73,,5632234.57,5334058.14,5765166.87,13117423.65
e_1,139.51,11378.57,250.75,168.38,392.54,2048.95,207963.57,741689.04,733744.95,817819.75,1337145.93,1278819.38,5508915.43,3970859.09,,9961944.47
c_1,105.95,154.78,17396.21,260.83,683.67,2737.28,290046.81,429894.55,469832.6,,939061.53,2124714.34,4462667.9,7294158.55,4671814.11,12258478.5
d_1,149.22,139.05,156.27,20217.51,352.27,1462.65,277028.4,,629423.51,1703751.74,1258038.3,1812050.32,5748586.14,6124781.18,5717097.96,12632608.33
b_1,109.68,150.63,223.25,202.7,34977.66,3614.71,301052.93,482386.31,513361.93,731363.71,,2780823.31,5613962.93,3728632.55,8059975.44,7049583.83
a_1,167.48,188.2,245.03,210.49,321.64,290596.9,186376.59,386734.79,,625432.43,,2058914.93,5878570.1,,,12421394.34
h_1,811.98,619.14,896.48,984.01,952.3,6243.21,11704449.82,1248354.13,2989761.68,3237128.3,4048042.59,5715021.61,,18854806.58,27571165.99,65811814.37
d_0,768.65,775.59,1724.23,,2223.23,11707.62,1319696.36,12061972.56,2295494.87,3728128.97,8550438.82,7159220.29,18582594.07,26398217.94,19453480.99,73294563.1
g_1,497.7,517.83,791.45,1692.48,1210.66,,627683.43,1313399.45,38866901.84,3982586.86,3920952.17,10707007.12,12373741.0,22559991.24,24383332.65,
c_0,824.06,357.77,,934.57,1424.28,10752.19,1050399.34,2780098.99,2865188.28,28864393.99,15935151.77,8935987.74,28841734.54,28651911.95,23225710.48,50004074.64
b_0,656.32,737.5,945.38,1098.72,,,1272222.81,1822777.94,2957264.27,6251410.81,55166802.6,8783957.7,27587746.09,40486397.33,31506181.18,48047393.46
f_0,,624.1,1271.84,1200.98,1679.91,9964.41,1158856.42,2129831.08,3232494.81,3499944.65,4922541.93,84012902.39,26500128.37,28322840.49,55484152.73,74144655.63
h_0,1131.82,1064.77,1039.72,2311.66,3093.52,15866.75,,3203876.24,5427360.17,5876408.58,8748182.98,18018983.51,,38254174.34,32641539.06,168662392.31
a_0,721.03,708.94,1031.94,1199.32,1246.2,,1203542.4,2229796.62,2997447.44,2812723.3,6390446.47,9971711.37,26098433.31,301043944.82,,60159143.79
e_0,671.3,,1048.1,1218.11,1898.59,,1100157.16,1811782.53,3247365.17,5054315.2,7707537.51,9494930.78,26507286.06,,325426769.54,85542218.56
g_0,940.31,1018.88,1903.3,2614.21,3250.39,14459.85,1614406.87,1894301.93,,5320797.09,7589802.89,22293078.86,43759873.1,38531881.59,44422508.33,
