,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.66,0.72,1.11,1.19,1.12,0.89,0.53,0.5,0.46,0.47,0.44,0.41,0.38,0.32,0.41,0.33
f_1,1.19,0.65,1.06,1.16,0.95,0.95,0.37,0.48,0.35,0.37,0.44,0.36,0.34,0.24,0.3,0.33
d_1,1.16,1.2,0.64,0.98,1.08,0.99,0.5,0.37,0.4,0.49,0.35,0.41,0.36,0.3,0.42,0.22
c_1,0.98,1.1,1.4,0.63,1.24,1.05,0.52,0.47,0.42,0.27,0.4,0.35,0.39,0.37,0.4,0.33
b_1,1.15,1.36,1.25,0.74,0.62,1.39,0.57,0.53,0.54,0.42,0.49,0.56,0.45,0.38,0.36,0.37
a_1,1.37,1.48,1.31,1.37,0.78,0.57,0.66,0.73,0.53,0.7,0.53,0.62,0.69,0.43,0.58,0.45
h_1,1.7,1.91,1.56,1.64,1.62,1.47,0.56,0.93,0.6,0.67,0.61,0.6,0.54,0.62,0.57,0.53
g_1,1.71,2.05,1.94,1.87,1.7,1.43,0.66,0.54,0.68,0.63,0.73,0.66,0.61,0.46,0.65,0.6
c_0,1.91,2.21,1.33,2.92,1.86,1.63,0.89,0.83,0.57,0.92,0.67,0.84,0.77,0.63,0.74,0.56
d_0,1.35,1.9,2.37,2.43,2.12,1.5,0.88,0.95,0.71,0.58,0.64,0.68,0.75,0.68,0.74,0.57
f_0,1.92,3.0,1.9,2.11,1.93,1.69,0.99,0.67,0.76,0.78,0.55,0.7,0.71,0.61,0.76,0.43
b_0,2.01,2.21,1.61,2.79,2.61,1.79,0.82,0.92,0.46,0.76,0.73,0.55,0.82,0.68,0.63,0.57
a_0,2.18,2.29,2.16,2.29,2.81,2.11,1.11,1.11,0.71,0.78,0.82,0.48,0.53,0.72,0.6,0.58
h_0,2.22,2.63,2.42,2.19,2.0,1.73,1.11,0.98,0.75,0.72,0.8,0.76,0.77,0.73,0.74,0.72
e_0,2.68,3.04,2.13,2.35,2.27,1.71,1.03,1.04,0.77,0.78,0.5,0.81,0.87,0.72,0.54,0.6
g_0,2.38,2.73,2.41,2.48,2.41,2.16,0.88,1.1,0.81,0.93,0.98,0.79,0.88,0.55,0.76,0.74
