,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,10151.66,9301.75,5366.28,13267.69,10851.97,89725.74,5892827.91,13153580.99,20341312.95,36000286.41,28314931.31,38781176.54,249552312.83,124803983.17,207964823.11,557085456.63
e_1,5088.41,12417.35,5217.9,16065.08,13103.5,80291.53,6576939.02,14127524.07,19567234.78,58436258.65,40384455.51,40351992.13,255159852.57,154789902.3,234086822.9,628549227.72
d_1,5078.41,5224.76,13371.99,10025.0,13912.77,100154.59,6592046.34,12946542.56,39509562.52,22360679.08,38794438.23,46717709.08,241672244.66,214953405.83,231593725.68,584818999.6
c_1,4891.22,5112.63,5271.06,31710.88,23102.97,103883.76,6126263.32,13682603.4,13119889.48,32649980.46,37719146.62,28770171.15,233338280.46,158874593.53,207710614.2,626637060.68
b_1,5375.56,4971.94,5784.86,11697.44,35518.9,172243.42,6481376.85,13079862.69,22393620.13,31478264.1,38779788.53,29305637.29,242063832.93,182326699.15,205763082.19,594702672.01
a_1,5586.97,5329.85,6299.73,12751.57,14272.92,389353.79,7304675.15,11465711.0,24222354.26,28396186.63,31234651.23,41125624.12,243703863.18,210717881.94,192135938.05,624337911.55
h_1,6265.92,6058.51,6572.04,13118.84,13997.84,96234.99,11395201.66,16446798.94,20404272.82,32285086.48,41274013.04,36657840.53,211453438.52,185361766.62,281925747.14,935301953.5
g_1,4514.03,4939.49,8593.92,13007.98,14118.71,95658.22,6857019.06,27971685.08,24337446.72,28181527.96,58600531.64,41249536.24,241047880.97,210002326.47,269624690.3,628207047.9
c_0,5299.16,6739.71,6831.64,11661.19,11398.75,97152.22,7264716.19,15909218.17,35156554.51,38396453.31,45050174.04,77128702.63,296378071.62,224889369.22,328670256.44,797197586.35
d_0,5215.06,6008.12,5182.41,23457.53,15818.53,89956.73,6826960.71,13225317.33,15539197.1,52150886.68,38675505.34,38483089.89,256531756.79,200653850.2,229277864.72,738455304.65
f_0,3746.51,4675.59,7791.85,15010.05,16466.17,108607.81,7137540.11,17200594.04,27093984.68,36065773.66,64764737.88,45692913.23,313020567.88,404800864.6,292424377.69,789124699.4
b_0,5233.82,6226.41,6904.17,14352.24,11579.87,92878.41,6900609.32,15616328.8,24012707.99,38436293.99,43110270.3,62778089.47,305797016.31,242607925.58,516964524.85,758627126.48
h_0,6154.67,6504.85,7035.61,15176.7,12764.53,89138.82,5520400.35,19578656.04,24527556.2,33989078.32,37315392.21,42727548.33,207145964.04,171974223.52,237095658.12,841766649.72
e_0,5894.22,5239.37,7176.15,13536.36,14561.03,113397.4,7269771.9,16300417.48,25768517.8,32105405.07,34456869.13,45261141.65,325604309.3,396664163.8,296780304.35,829296439.61
a_0,5346.98,6109.39,7345.6,13015.0,12811.38,78617.39,7039939.0,15953126.99,27716351.55,32669487.27,48450108.63,45690292.32,310336354.56,218793783.06,480921263.82,806143793.52
g_0,4385.05,5641.96,9215.83,14468.52,14261.01,101429.71,6042557.87,14983460.94,24747610.19,28737855.64,58826866.54,47348453.56,276066750.84,253473792.41,282850960.57,536884356.68
