,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.3,1.23,0.41,0.51,0.48,0.44,0.87,0.74,0.67,0.66,0.93,0.35,0.96,0.84,0.68,0.89
e_1,0.6,17.11,0.77,0.38,0.52,0.48,0.84,2.0,0.86,0.88,0.94,1.0,0.88,0.83,0.37,1.03
c_1,0.46,0.42,18.94,0.47,1.27,0.64,0.85,0.8,0.75,0.21,0.62,0.91,0.89,1.04,1.04,0.96
d_1,0.61,0.4,0.4,22.7,0.46,0.44,0.97,0.42,0.99,2.55,1.45,0.94,1.14,1.13,1.18,1.02
b_1,0.51,0.44,0.57,0.45,21.64,1.33,0.97,0.84,0.73,0.75,0.27,1.14,0.86,0.74,1.08,0.76
a_1,0.53,0.55,0.57,0.67,0.44,33.38,0.77,0.98,1.17,0.83,0.72,1.09,1.1,0.4,0.76,0.81
h_1,1.11,0.66,0.59,0.88,0.46,0.55,5.77,0.81,1.51,1.09,1.08,0.89,0.58,1.05,1.13,1.7
d_0,0.73,0.66,1.62,0.33,0.67,0.65,1.09,3.05,1.02,0.88,1.37,0.91,1.0,1.12,1.09,1.1
g_1,0.51,0.45,0.68,1.56,0.6,0.57,0.88,0.98,7.05,1.22,1.2,2.5,1.02,0.94,1.45,0.7
c_0,0.85,0.54,0.43,0.9,0.5,0.63,1.14,1.5,1.28,3.99,3.49,1.17,1.68,1.41,1.31,1.26
b_0,0.77,0.76,0.76,0.86,0.23,0.32,1.17,1.38,1.46,1.72,4.85,1.29,1.64,2.95,1.19,1.33
f_0,0.35,0.6,0.81,1.02,0.61,0.65,1.06,1.14,1.21,1.09,1.22,4.63,1.43,1.17,3.16,1.5
h_0,1.16,0.66,0.61,0.97,0.61,0.61,0.57,0.91,1.56,1.09,1.11,1.1,0.66,1.14,1.3,1.85
a_0,0.73,0.79,0.83,0.86,0.52,0.22,1.36,0.92,1.17,1.05,1.07,1.24,1.17,4.79,1.52,1.27
e_0,0.73,0.22,0.82,1.07,0.82,0.47,1.33,1.22,1.1,1.15,1.57,1.06,1.5,1.47,5.3,1.44
g_0,0.73,0.46,0.77,1.23,0.65,0.91,0.86,0.75,0.68,1.08,1.03,1.94,1.49,1.32,1.3,0.7
