,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.96,0.88,0.58,0.62,0.52,0.43,0.36,0.33,0.34,0.4,0.34,0.26,0.27,0.31,0.19,0.3
e_1,0.6,0.96,0.54,0.71,0.62,0.43,0.44,0.35,0.35,0.59,0.37,0.35,0.29,0.35,0.26,0.3
d_1,0.72,0.63,0.96,0.54,0.55,0.45,0.4,0.34,0.55,0.33,0.42,0.36,0.31,0.35,0.27,0.28
c_1,0.62,0.6,0.64,0.96,0.9,0.41,0.37,0.3,0.29,0.32,0.26,0.29,0.28,0.32,0.23,0.29
b_1,0.72,0.57,0.66,0.58,0.95,0.7,0.41,0.38,0.44,0.37,0.32,0.32,0.25,0.41,0.28,0.34
a_1,0.79,0.73,0.78,0.74,0.53,0.94,0.54,0.45,0.49,0.45,0.45,0.38,0.31,0.43,0.33,0.38
h_1,1.16,0.92,1.08,0.89,0.79,0.54,0.81,0.67,0.56,0.53,0.55,0.47,0.42,0.44,0.37,0.55
g_1,1.03,0.87,1.25,0.99,0.85,0.61,0.54,0.81,0.54,0.48,0.51,0.64,0.45,0.49,0.47,0.43
c_0,1.09,0.99,1.04,0.96,0.71,0.65,0.7,0.63,0.76,0.67,0.86,0.56,0.57,0.56,0.46,0.51
d_0,0.98,0.87,0.88,1.45,1.03,0.61,0.66,0.6,0.44,0.74,0.5,0.49,0.46,0.53,0.39,0.49
b_0,1.15,1.07,1.09,1.08,0.75,0.53,0.67,0.66,0.56,0.62,0.75,0.56,0.8,0.63,0.44,0.45
f_0,1.09,0.94,1.15,1.16,0.97,0.7,0.72,0.62,0.69,0.63,0.61,0.71,0.51,0.64,0.75,0.47
a_0,1.27,1.02,1.19,1.11,1.12,0.6,0.86,0.66,0.63,0.64,0.58,0.6,0.7,0.69,0.49,0.54
h_0,1.44,1.08,1.22,1.05,0.86,0.79,0.61,0.82,0.64,0.61,0.6,0.52,0.46,0.53,0.45,0.64
e_0,1.44,0.82,1.31,1.21,0.97,0.84,0.82,0.67,0.68,0.7,0.67,0.48,0.53,0.6,0.7,0.6
g_0,1.11,1.03,1.59,1.13,1.01,0.75,0.71,0.69,0.72,0.56,0.68,0.78,0.58,0.56,0.53,0.53
