,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,1.46,1.37,1.19,1.23,1.21,0.48,0.51,0.67,0.51,0.46,0.73,0.31,0.46,0.52,0.45
e_1,0.92,0.66,1.45,1.47,1.47,1.52,0.7,0.72,0.71,0.58,0.5,0.6,0.41,0.5,1.12,0.45
c_1,1.62,1.28,0.65,1.62,1.69,1.26,0.62,0.32,0.56,0.56,0.47,0.44,0.45,0.44,0.4,0.38
d_1,1.76,1.57,1.45,0.64,1.29,1.31,0.62,0.79,0.48,0.55,0.58,0.47,0.45,0.52,0.35,0.32
b_1,1.67,1.71,0.96,1.72,0.62,1.64,0.86,0.61,0.6,0.6,0.89,0.52,0.51,0.5,0.48,0.49
a_1,2.08,1.64,1.94,1.74,1.07,0.57,0.99,0.73,0.91,0.79,0.81,0.86,0.52,1.25,0.64,0.49
h_1,2.31,1.98,2.36,2.27,1.82,1.77,0.58,0.84,1.09,0.72,0.8,0.69,0.71,0.72,0.8,0.64
d_0,2.53,1.34,3.14,2.81,2.68,2.1,1.09,0.64,1.34,0.83,0.88,0.81,0.84,0.82,0.88,0.72
g_1,2.66,2.3,2.71,2.33,2.59,2.06,0.85,0.82,0.55,0.78,0.86,0.92,0.58,0.91,0.71,0.77
c_0,2.37,2.24,4.21,1.55,2.59,2.13,1.04,1.02,1.27,0.61,1.19,0.93,0.88,0.88,0.8,0.77
b_0,2.66,2.49,2.83,2.05,4.19,2.24,1.02,0.89,1.03,0.5,0.6,0.89,0.7,1.3,0.93,0.75
f_0,4.43,2.23,2.91,2.94,2.46,1.83,1.36,0.98,0.72,1.07,0.88,0.58,0.88,1.08,1.24,0.47
h_0,3.62,2.89,2.66,2.36,2.59,2.37,1.58,0.95,1.26,0.87,0.96,0.79,1.14,0.88,0.79,0.9
a_0,3.0,2.92,2.88,2.63,3.44,3.19,1.37,1.02,1.01,0.91,0.53,0.74,0.82,0.57,0.96,0.82
e_0,3.45,2.95,4.1,3.33,3.62,2.16,1.25,0.96,1.34,1.04,0.97,0.48,0.82,0.95,0.58,0.72
g_0,2.78,3.1,3.05,3.05,2.63,2.85,1.13,1.12,1.74,1.26,1.11,1.35,0.69,1.0,1.13,1.1
