,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,1.21,1.17,1.57,3.14,15.58,30.4,33.02,30.56,39.35,49.04,61.24,76.88,74.59,108.03
e_1,0.76,1.0,1.45,1.1,1.62,2.89,17.79,37.53,42.17,33.58,39.76,54.15,67.86,75.21,93.51,110.21
c_1,0.82,0.7,1.0,1.2,1.75,3.03,14.22,24.71,19.63,20.36,29.43,36.17,59.8,64.11,86.5,82.74
d_1,0.85,0.91,0.83,1.0,1.42,2.52,14.51,19.74,24.19,36.12,38.08,41.66,61.76,68.9,90.72,68.84
b_1,0.64,0.62,0.57,0.7,1.0,3.35,11.69,18.69,21.37,25.3,22.96,31.14,43.8,44.38,63.3,71.24
a_1,0.32,0.34,0.33,0.4,0.3,1.0,6.07,8.5,7.99,8.95,12.67,12.75,20.31,19.41,24.69,25.52
h_1,0.06,0.06,0.07,0.07,0.08,0.16,1.0,1.95,1.71,1.77,2.31,2.4,4.49,4.3,5.07,8.05
g_1,0.03,0.03,0.04,0.05,0.05,0.12,0.52,1.0,1.02,1.18,1.34,2.1,2.07,3.35,3.54,3.24
d_0,0.03,0.02,0.05,0.04,0.05,0.11,0.57,0.94,1.0,0.89,1.33,1.41,2.41,2.59,3.01,3.82
c_0,0.03,0.03,0.04,0.03,0.04,0.11,0.58,0.82,1.11,1.0,1.62,1.41,2.38,2.77,3.41,3.05
b_0,0.03,0.03,0.04,0.03,0.04,0.08,0.43,0.73,0.75,0.59,1.0,1.28,1.93,2.78,2.61,3.02
f_0,0.02,0.02,0.03,0.02,0.03,0.08,0.4,0.49,0.68,0.72,0.79,1.0,1.55,1.48,2.94,1.91
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.22,0.5,0.4,0.42,0.49,0.67,1.0,1.02,1.06,1.7
a_0,0.01,0.01,0.02,0.01,0.02,0.05,0.23,0.3,0.35,0.36,0.35,0.67,0.92,1.0,0.97,1.29
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.29,0.34,0.3,0.39,0.36,0.97,1.01,1.0,1.02
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.13,0.3,0.26,0.31,0.33,0.55,0.58,0.77,0.92,1.0
