,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,9139.54,2584.59,2711.51,4689.88,8707.61,26988.86,3749504.83,15112993.45,7690670.07,5883549.28,20179293.73,27396671.0,82130423.65,93932226.61,169266386.76,163548165.37
f_1,1845.62,12253.24,5789.63,5211.13,6048.1,28408.07,3233993.86,6836936.98,5475592.33,11703277.72,16626780.18,8745768.61,70807330.53,72431124.42,117150035.17,97207335.59
e_1,2066.22,2794.77,14529.97,6885.05,8554.69,30784.04,2710222.6,6836164.76,5270620.87,18471424.4,16219334.94,25576940.09,75890634.38,76344007.16,124210322.16,43061031.58
c_1,2204.25,2364.2,2787.79,33304.33,15614.54,25153.74,2096830.57,2699711.15,5864752.21,9819933.52,9643486.11,22243384.86,71925732.31,64691352.51,128820603.91,132796188.44
b_1,2275.94,2512.91,2724.76,4928.16,49353.03,62228.59,3012359.33,7587282.11,5925724.97,8584596.64,8334478.65,29167787.12,73640378.55,63627750.92,141243707.06,118445144.14
a_1,2149.38,3467.35,2781.38,6486.68,6288.68,254743.6,2967528.91,7529285.19,7146001.7,8972481.04,20371294.4,27050689.4,80828622.85,34400694.61,159614633.08,85780172.42
h_1,2425.67,4280.73,3554.85,8897.94,7070.83,29608.43,10251231.21,9153046.32,13271327.01,10349363.87,17251584.52,31826681.96,55702911.55,109794933.49,215219676.95,138542046.93
c_0,2711.01,3189.65,3528.18,5847.76,8370.08,36202.35,4256130.97,19535077.65,9989911.39,12193653.14,39300417.96,30474521.32,93677401.15,137543817.04,204629315.59,168924495.13
g_1,3883.75,2996.05,2960.0,7701.2,8055.59,30637.32,3547723.14,8771408.92,27010871.44,8469538.46,16642469.42,46762389.78,89279834.69,84191085.7,138231174.87,160268940.31
d_0,1289.63,3395.89,3830.46,15451.5,10592.68,31535.39,3564285.29,7067365.85,7809559.0,25872158.11,20210305.45,28691081.06,92517091.43,78851030.33,135427099.17,113303882.42
b_0,2411.3,3967.22,3523.52,8763.35,5712.32,37566.76,3970267.54,9371855.89,9113332.38,11486604.65,44497001.15,35543272.43,97207956.47,209542980.95,178727574.17,158262728.0
f_0,3079.97,2128.31,2784.89,9041.6,10514.87,32543.5,3626903.27,10669046.4,10776318.84,12770024.16,18770744.58,74380400.54,95880927.2,139494373.96,185936769.02,345209945.91
h_0,2910.52,4845.55,3733.31,7963.56,9711.92,28542.61,2537171.02,9071622.54,10464925.01,12681907.75,18006484.73,30182279.14,55392761.7,103437097.7,228919269.87,154492549.4
a_0,3141.4,3485.2,3710.88,7938.6,8600.89,16623.03,5334395.47,9662825.27,8468429.98,11850523.58,19801272.44,30087676.2,114769191.61,295544618.66,216184401.35,172126934.69
g_0,4436.61,2739.57,3140.51,8079.42,8488.31,31261.36,3703665.5,10311200.44,7380237.69,10899172.64,19240627.43,52280464.78,85668744.85,103930611.97,120440871.4,181589410.16
e_0,2531.52,4352.35,1880.72,7384.08,10510.9,39681.79,5056612.84,10488715.54,11859748.08,14514469.61,18596527.01,31095582.01,93925935.77,106137354.18,152036612.79,433422511.15
