,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.53,1.14,1.44,3.7,23.94,36.62,29.62,32.66,46.37,59.17,84.69,93.47,121.3,136.11
f_1,1.25,1.0,1.03,1.08,1.22,3.75,15.16,24.18,29.71,33.96,44.0,41.47,67.8,63.74,90.57,121.29
c_1,0.65,0.96,1.0,1.25,1.36,2.5,16.26,15.31,23.29,28.18,32.71,41.2,58.2,70.24,94.11,97.31
d_1,0.87,0.93,0.79,1.0,1.11,2.67,16.96,22.22,31.73,26.15,41.22,43.15,67.38,73.29,94.25,74.46
b_1,0.69,0.82,0.74,0.9,1.0,3.35,14.74,18.71,24.16,24.76,27.0,33.58,53.68,60.4,80.69,92.85
a_1,0.27,0.27,0.4,0.37,0.3,1.0,6.47,8.45,9.13,11.05,13.56,13.8,27.14,25.39,37.56,42.81
h_1,0.05,0.07,0.06,0.06,0.07,0.15,1.0,1.4,1.6,2.27,2.42,2.51,4.31,5.19,5.3,6.64
d_0,0.03,0.04,0.07,0.05,0.06,0.12,0.71,1.0,1.15,1.72,1.65,1.76,2.89,3.26,3.87,4.62
c_0,0.03,0.04,0.04,0.03,0.04,0.11,0.62,0.85,1.0,1.26,1.91,1.67,2.35,2.64,2.97,3.31
g_1,0.03,0.03,0.03,0.04,0.04,0.09,0.44,0.6,0.83,1.0,1.21,1.72,2.42,1.97,3.26,3.14
b_0,0.02,0.02,0.03,0.02,0.03,0.08,0.42,0.61,0.53,0.8,1.0,1.04,2.54,1.7,2.45,2.77
f_0,0.01,0.02,0.03,0.02,0.03,0.07,0.43,0.56,0.6,0.58,0.96,1.0,1.77,2.03,3.16,1.74
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.24,0.37,0.4,0.42,0.41,0.57,1.0,1.06,1.36,1.39
h_0,0.01,0.02,0.01,0.01,0.02,0.04,0.19,0.29,0.4,0.52,0.56,0.5,0.92,1.0,1.23,1.67
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.25,0.31,0.32,0.45,0.32,0.78,0.78,1.0,1.19
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.2,0.3,0.34,0.35,0.55,0.72,0.59,0.86,1.0
