,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.67,0.83,1.4,1.4,1.36,1.06,0.69,0.64,0.59,0.57,0.54,0.52,0.48,0.41,0.64,0.4
f_1,1.46,0.65,1.24,1.43,1.11,1.19,0.43,0.58,0.42,0.42,0.6,0.43,0.38,0.27,0.37,0.42
d_1,1.36,1.5,0.65,1.22,1.36,1.2,0.6,0.45,0.47,0.71,0.41,0.46,0.42,0.35,0.51,0.26
c_1,1.21,1.28,1.71,0.63,1.5,1.4,0.62,0.53,0.52,0.33,0.46,0.42,0.49,0.44,0.46,0.38
b_1,1.37,1.7,1.45,0.88,0.62,1.76,0.72,0.65,0.65,0.55,0.59,0.94,0.54,0.48,0.43,0.48
a_1,1.74,1.72,1.6,1.66,0.93,0.57,0.8,0.87,0.63,0.84,0.64,0.71,1.04,0.53,0.64,0.58
h_1,1.82,2.36,1.73,1.86,1.9,1.65,0.58,1.14,0.7,0.73,0.66,0.69,0.68,0.78,0.66,0.62
g_1,1.96,2.22,2.29,2.08,1.98,1.69,0.73,0.56,0.79,0.68,0.89,0.73,0.69,0.5,0.76,0.77
c_0,2.02,2.61,1.45,4.08,2.23,1.92,1.07,0.95,0.61,0.97,0.78,1.03,0.95,0.75,0.84,0.66
d_0,1.48,2.28,2.67,2.65,2.4,1.73,1.08,1.14,0.84,0.61,0.76,0.81,0.88,0.8,0.84,0.68
f_0,2.25,3.59,2.26,2.37,2.28,1.88,1.17,0.75,0.83,0.87,0.57,0.76,0.81,0.72,0.92,0.47
b_0,2.31,2.56,1.93,3.24,3.46,1.96,0.93,1.1,0.48,0.85,0.9,0.58,0.91,0.74,0.69,0.66
a_0,2.6,2.69,2.58,2.64,3.17,2.74,1.18,1.3,0.8,0.87,0.92,0.54,0.55,0.84,0.65,0.72
h_0,2.47,3.12,2.85,2.59,2.27,1.9,1.31,1.1,0.8,0.84,0.91,0.87,0.85,0.9,0.77,0.79
e_0,3.53,3.46,2.29,2.76,3.02,1.94,1.12,1.34,0.95,0.89,0.54,0.91,0.99,0.84,0.55,0.66
g_0,2.65,2.97,2.93,2.92,2.71,2.38,0.99,1.27,0.9,1.05,1.13,0.94,0.98,0.67,0.9,0.92
