,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.67,3.59,6.36,5.71,4.66,5.63,2.98,2.54,2.05,2.47,2.02,2.25,2.57,1.51,,1.44
f_1,6.8,0.67,5.2,7.32,5.84,6.23,1.7,3.16,2.48,1.87,2.19,,1.85,1.23,1.83,1.46
d_1,6.03,7.24,0.65,4.92,5.91,5.75,2.63,1.7,,2.54,2.29,1.75,2.33,1.52,2.17,1.36
c_1,5.5,5.26,6.87,0.65,7.87,5.4,2.9,2.75,1.53,,2.41,2.08,2.14,1.31,2.02,1.73
b_1,7.13,5.73,6.2,3.38,0.63,5.87,2.97,3.09,2.51,2.38,,2.86,1.76,2.09,2.07,2.29
a_1,6.44,7.68,10.12,8.3,4.68,0.57,3.96,3.84,2.42,3.37,3.11,1.87,,2.15,1.98,
h_1,4.25,5.67,4.8,4.44,4.56,5.18,0.61,1.96,1.97,1.95,1.97,2.05,1.84,,1.39,1.51
g_1,5.8,6.14,5.97,4.84,4.19,4.26,1.94,0.59,2.21,2.02,1.77,2.94,1.63,1.71,1.57,
d_0,3.89,4.36,,4.94,4.6,5.24,1.9,2.03,0.71,2.0,1.53,1.3,2.28,1.56,1.47,1.43
c_0,4.14,6.17,2.97,,7.3,3.77,2.3,2.22,1.62,0.7,1.94,1.65,1.54,1.51,2.19,1.43
b_0,5.13,4.87,4.71,6.64,,4.33,2.15,2.74,1.91,1.17,0.67,2.0,1.83,1.49,1.79,1.42
f_0,6.56,,5.85,6.45,5.16,5.81,2.34,1.4,2.31,1.9,1.68,0.65,1.76,2.08,1.78,1.0
a_0,5.05,5.63,6.7,5.05,6.86,,2.51,2.84,2.1,1.99,1.43,1.83,0.66,1.54,,1.57
h_0,5.04,5.0,4.82,5.88,3.8,3.37,,2.11,1.44,1.62,1.71,1.44,1.41,,1.37,1.28
e_0,,8.2,5.58,5.94,7.81,6.12,2.76,2.59,2.44,1.76,2.06,1.34,,1.93,0.62,1.36
g_0,7.6,5.71,4.68,5.24,4.27,,2.07,,1.67,1.58,2.73,2.39,1.67,1.16,1.88,
