,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.14,6.41,11.48,11.2,11.22,11.03,3.76,3.3,2.3,2.18,2.22,2.46,1.87,2.22,7.58,1.49
f_1,11.01,1.14,9.53,12.01,11.31,10.68,2.11,3.72,2.16,2.12,2.09,9.06,0.97,1.97,2.82,1.44
d_1,13.86,13.04,1.14,11.83,12.16,11.16,2.86,2.15,8.69,2.32,2.48,2.05,1.88,2.5,2.02,1.06
c_1,11.67,10.88,17.97,1.14,11.05,17.32,3.11,4.27,1.43,8.86,2.79,2.22,1.82,1.97,2.03,2.66
b_1,14.41,15.85,15.03,7.12,1.15,13.26,4.14,4.32,3.12,3.48,10.76,2.91,2.09,3.26,3.34,1.73
a_1,20.95,26.65,19.45,20.43,11.26,1.15,7.35,4.58,4.46,4.53,5.84,4.08,2.68,,4.61,2.93
h_1,28.15,36.78,21.19,34.96,27.06,25.65,1.9,9.86,5.51,4.43,5.23,4.99,12.91,4.96,3.55,4.67
g_1,39.66,36.42,26.88,36.16,28.11,26.69,7.92,1.9,9.55,5.99,5.84,5.43,3.8,9.78,5.01,13.42
d_0,15.5,39.13,78.71,34.57,40.77,34.05,12.95,13.73,2.62,6.05,7.32,6.11,4.79,7.1,8.74,5.96
c_0,36.51,36.42,17.97,125.84,39.66,31.85,12.36,9.09,9.55,2.7,7.32,8.58,5.84,7.7,6.43,5.65
b_0,33.83,37.15,33.06,57.2,206.79,39.5,12.36,10.14,9.42,4.01,2.53,5.62,7.61,7.87,7.93,7.32
f_0,37.63,147.12,50.86,46.26,48.25,34.65,15.69,7.37,8.37,6.91,8.58,2.78,5.76,12.07,7.58,6.08
h_0,44.43,56.58,46.56,51.57,53.61,50.64,38.86,14.89,11.69,11.87,9.0,10.19,18.52,9.05,10.03,8.7
a_0,57.63,51.08,62.38,73.16,60.31,,20.92,24.14,13.56,11.65,5.78,12.54,10.14,2.81,13.64,9.2
e_0,136.59,75.06,67.47,52.43,57.9,56.43,16.32,19.44,12.11,14.3,11.44,5.62,12.53,13.41,2.8,8.94
g_0,72.31,66.87,67.47,69.91,76.18,75.96,13.38,41.18,14.12,13.98,11.93,12.54,8.52,10.06,15.5,20.12
