,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.42,0.87,0.92,0.86,0.87,0.77,0.2,0.28,0.2,0.18,0.25,0.18,0.11,0.18,0.17,0.15
e_1,0.6,0.42,1.02,0.99,0.97,0.81,0.26,0.31,0.21,0.2,0.24,0.19,0.15,0.25,0.22,0.14
c_1,1.0,0.74,0.41,1.23,0.91,0.76,0.27,0.26,0.12,0.24,0.19,0.2,0.14,0.19,0.18,0.14
d_1,0.97,1.11,1.01,0.4,1.06,0.91,0.24,0.17,0.27,0.18,0.18,0.17,0.13,0.16,0.16,0.09
b_1,1.14,1.06,0.61,1.18,0.38,1.22,0.32,0.33,0.19,0.3,0.22,0.35,0.16,0.2,0.2,0.14
a_1,1.34,1.21,1.5,1.4,0.7,0.31,0.38,0.38,0.28,0.3,0.28,0.37,0.24,0.26,0.36,0.22
h_1,1.76,1.81,1.68,1.62,1.55,1.6,0.28,0.48,0.35,0.4,0.38,0.39,0.3,0.34,0.32,0.25
g_1,2.21,1.99,2.08,1.97,1.92,1.49,0.42,0.27,0.37,0.39,0.42,0.34,0.21,0.34,0.33,0.3
d_0,1.82,1.31,2.38,2.5,2.05,1.72,0.54,0.64,0.32,0.42,0.42,0.39,0.31,0.41,0.36,0.28
c_0,2.08,2.14,3.27,1.25,2.3,2.28,0.58,0.52,0.55,0.28,0.47,0.4,0.32,0.39,0.41,0.25
f_0,2.6,1.94,2.18,2.1,1.98,1.54,0.57,0.39,0.39,0.47,0.28,0.41,0.33,0.33,0.38,0.19
b_0,2.09,2.35,2.81,1.75,2.8,1.91,0.61,0.62,0.46,0.26,0.42,0.28,0.3,0.39,0.39,0.27
h_0,2.41,2.41,2.32,2.26,2.25,2.19,0.73,0.66,0.48,0.44,0.47,0.4,0.37,0.44,0.37,0.29
e_0,3.43,3.56,2.41,2.32,2.38,2.21,0.71,0.56,0.59,0.43,0.31,0.53,0.36,0.27,0.47,0.24
a_0,2.38,2.56,2.65,2.8,2.86,3.11,0.74,0.72,0.49,0.46,0.53,0.28,0.32,0.51,0.28,0.29
g_0,2.81,2.76,2.8,2.3,2.57,2.83,0.61,0.83,0.61,0.53,0.55,0.56,0.32,0.49,0.47,0.47
