,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.52,0.56,0.45,0.39,0.39,0.4,0.59,0.34,0.87,0.39,0.65,0.56,0.54,0.5,0.47,0.44
f_1,0.43,1.51,0.73,0.5,0.42,0.35,0.53,0.55,0.6,0.43,0.51,0.2,0.63,0.35,0.3,0.5
e_1,0.45,0.46,1.53,0.46,0.45,0.35,0.51,0.96,0.52,0.54,0.49,0.52,0.66,0.46,0.2,0.54
c_1,0.53,0.4,0.46,1.55,0.71,0.26,0.54,0.51,0.23,0.54,0.42,0.55,0.61,0.51,0.5,0.66
b_1,0.52,0.46,0.46,0.42,1.6,0.72,0.63,0.66,0.46,0.49,0.29,0.57,0.53,0.39,0.54,0.41
a_1,0.51,0.68,0.5,0.54,0.28,1.73,0.48,0.51,0.6,0.52,0.62,0.66,0.64,0.32,0.46,0.64
h_1,0.76,0.97,0.62,0.74,0.65,0.65,1.67,0.82,0.78,0.89,0.76,0.76,0.49,0.68,0.78,0.91
d_0,0.3,0.74,0.58,1.33,0.67,0.81,0.82,1.49,0.86,0.73,1.07,0.8,1.03,0.82,0.7,0.92
c_0,0.72,0.72,0.8,0.61,0.72,0.69,1.01,0.96,1.51,0.83,1.37,0.96,1.02,0.89,0.73,1.07
g_1,1.13,0.73,0.53,0.68,0.77,0.63,0.74,0.83,0.87,1.77,0.85,1.15,0.87,0.5,0.68,0.67
b_0,0.74,0.9,0.67,0.97,0.46,0.52,1.06,0.84,0.89,0.94,1.6,0.95,1.09,1.33,1.0,0.88
f_0,1.01,0.48,0.71,0.84,0.74,0.48,0.89,1.02,1.04,0.88,0.94,1.55,1.13,0.89,1.6,0.76
h_0,0.85,0.99,0.67,0.76,0.74,0.73,0.54,0.92,0.97,1.16,1.0,0.87,0.6,0.91,0.7,1.24
a_0,0.91,1.04,0.85,0.84,0.69,0.41,1.09,0.84,0.9,1.07,0.89,0.8,0.95,1.7,0.76,0.82
e_0,0.91,1.01,0.66,0.84,0.81,0.61,0.82,0.96,1.26,1.02,0.78,0.86,1.26,0.86,1.71,0.95
g_0,1.37,0.79,0.66,0.67,0.84,0.63,0.8,0.81,0.91,0.56,0.91,1.3,0.88,0.84,0.93,0.74
