,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.16,0.32,0.35,0.36,0.36,0.33,0.08,0.11,0.07,0.07,0.06,0.09,0.06,0.04,0.05,0.07
e_1,0.23,0.16,0.37,0.38,0.4,0.36,0.11,0.1,0.09,0.08,0.08,0.08,0.08,0.05,0.05,0.09
d_1,0.4,0.38,0.15,0.38,0.3,0.29,0.09,0.06,0.1,0.08,0.07,0.07,0.06,0.04,0.04,0.07
c_1,0.34,0.29,0.44,0.15,0.37,0.34,0.1,0.1,0.05,0.09,0.07,0.06,0.07,0.05,0.05,0.06
b_1,0.38,0.4,0.38,0.21,0.13,0.3,0.12,0.12,0.07,0.1,0.1,0.07,0.09,0.06,0.05,0.08
a_1,0.42,0.38,0.35,0.32,0.18,0.1,0.12,0.1,0.08,0.09,0.1,0.08,0.12,0.07,0.05,0.08
h_1,0.35,0.29,0.29,0.35,0.32,0.28,0.05,0.1,0.07,0.06,0.07,0.06,0.06,0.06,0.04,0.06
g_1,0.34,0.32,0.29,0.37,0.35,0.29,0.07,0.05,0.07,0.06,0.06,0.06,0.06,0.04,0.05,0.05
d_0,0.3,0.22,0.43,0.35,0.36,0.33,0.09,0.12,0.05,0.06,0.07,0.06,0.07,0.05,0.05,0.07
c_0,0.37,0.32,0.2,0.5,0.37,0.31,0.09,0.09,0.11,0.05,0.07,0.07,0.06,0.05,0.05,0.06
b_0,0.33,0.3,0.24,0.46,0.45,0.31,0.09,0.09,0.08,0.04,0.04,0.06,0.06,0.05,0.05,0.06
f_0,0.44,0.33,0.28,0.34,0.3,0.29,0.09,0.06,0.07,0.06,0.07,0.04,0.07,0.05,0.03,0.07
a_0,0.32,0.27,0.28,0.35,0.44,0.43,0.09,0.09,0.06,0.06,0.04,0.06,0.03,0.05,0.05,0.06
h_0,0.33,0.32,0.32,0.33,0.32,0.25,0.1,0.09,0.07,0.07,0.05,0.06,0.07,0.06,0.04,0.06
g_0,0.36,0.32,0.3,0.34,0.3,0.29,0.07,0.09,0.07,0.07,0.06,0.06,0.06,0.03,0.05,0.05
e_0,0.43,0.35,0.28,0.34,0.31,0.29,0.08,0.08,0.06,0.06,0.07,0.03,0.07,0.05,0.04,0.03
