,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.34,0.58,0.38,0.6,0.37,0.32,0.99,0.87,0.88,1.89,1.06,0.88,0.89,1.38,0.37,1.04
f_1,0.86,2.34,0.43,0.46,0.36,0.37,0.84,0.64,1.02,1.0,0.84,0.42,0.94,1.08,0.61,0.9
d_1,0.42,0.54,2.39,0.37,0.49,0.37,1.01,0.83,1.96,0.34,1.18,0.95,0.74,1.12,0.8,1.21
c_1,0.44,0.38,0.5,2.41,0.9,0.36,0.82,0.61,0.26,0.93,0.64,1.02,0.59,0.99,0.85,1.02
b_1,0.45,0.56,0.5,0.41,2.48,0.7,0.82,0.7,0.92,0.86,0.52,0.87,0.69,1.23,0.99,1.05
a_1,0.49,0.44,0.55,0.54,0.41,3.03,1.0,0.88,0.86,0.98,0.97,1.02,0.33,1.21,0.75,1.16
h_1,0.5,0.79,0.66,0.7,0.54,0.4,2.91,1.24,1.1,1.06,1.27,0.97,0.97,0.72,0.85,1.87
g_1,0.47,0.47,0.91,0.72,0.5,0.31,1.2,3.36,1.14,1.03,1.18,1.84,0.97,1.35,1.05,0.78
c_0,0.61,0.71,0.7,0.35,0.49,0.35,1.11,1.14,2.57,1.04,2.36,1.31,1.37,1.77,1.02,1.61
d_0,0.65,0.7,0.28,1.12,0.53,0.46,1.15,0.85,0.82,2.56,1.05,1.08,0.73,1.29,0.82,1.15
b_0,0.5,0.8,0.64,0.63,0.23,0.33,1.07,0.97,1.63,1.1,2.86,1.27,2.49,1.99,1.04,1.43
f_0,0.52,0.35,0.71,0.67,0.65,0.45,1.26,1.02,1.28,1.12,1.32,2.87,0.9,1.59,2.34,1.45
a_0,0.66,0.62,0.61,0.77,0.44,0.23,1.1,0.98,1.13,1.43,1.2,1.1,3.1,1.68,0.92,1.77
h_0,0.62,0.91,0.68,0.54,0.51,0.34,0.69,1.34,1.29,1.33,1.08,0.87,0.96,0.76,0.97,1.74
e_0,0.33,0.6,0.75,0.6,0.69,0.5,1.07,1.06,1.6,1.25,1.37,1.28,1.08,1.72,3.03,1.72
g_0,0.45,0.53,0.96,0.61,0.56,0.4,1.01,0.71,1.3,1.04,1.15,1.92,0.76,1.52,1.49,1.02
