,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.07,1.34,0.64,0.68,0.67,0.67,0.96,0.95,1.02,0.92,1.04,0.57,0.89,0.86,0.6,0.78
e_1,0.81,2.12,0.7,0.9,0.72,0.62,0.98,0.84,1.66,0.91,1.0,0.97,0.97,1.01,0.66,0.97
d_1,0.87,0.67,2.39,0.57,0.67,0.59,1.0,1.7,0.51,0.9,1.16,1.08,1.2,1.04,1.12,1.13
c_1,0.67,0.65,0.71,2.39,1.42,0.66,0.85,0.58,0.88,0.84,0.66,1.06,0.89,0.88,1.0,0.73
b_1,0.73,0.67,0.77,0.78,2.44,1.48,0.79,0.78,0.8,0.92,0.6,0.92,0.7,1.06,1.0,1.08
a_1,0.89,0.66,0.85,0.82,0.68,3.26,1.02,0.96,0.93,0.98,1.02,0.96,0.7,1.09,1.12,1.04
h_1,1.11,0.87,0.86,0.83,0.67,0.69,2.08,1.01,0.94,1.25,1.2,1.06,1.19,0.81,1.07,1.4
c_0,0.9,0.82,1.04,0.62,0.6,0.81,1.12,1.69,0.94,1.16,1.92,1.08,1.49,1.19,1.11,1.26
d_0,0.8,0.82,0.6,1.54,0.9,0.68,0.97,0.69,1.65,1.03,0.89,1.06,1.03,0.98,0.97,1.01
g_1,0.71,0.67,1.31,0.86,0.77,0.78,1.1,1.06,0.81,2.43,1.06,1.74,1.03,1.07,1.19,0.91
b_0,0.85,0.88,0.96,0.89,0.52,0.7,1.14,1.09,1.03,1.19,1.74,1.14,2.06,1.12,1.06,1.12
f_0,0.7,0.62,0.92,0.96,0.86,0.83,1.12,1.0,1.01,1.07,0.95,2.04,0.95,1.06,2.53,1.23
a_0,1.01,0.84,1.04,0.82,0.65,0.65,1.17,1.07,1.03,1.05,1.25,0.96,2.07,1.28,1.13,1.24
h_0,1.09,0.81,0.93,0.86,0.72,0.85,0.66,1.07,1.08,1.33,1.14,0.94,0.97,0.77,1.21,1.37
e_0,0.96,0.52,0.8,0.95,0.84,0.9,1.16,1.15,1.01,1.24,1.23,1.11,1.09,1.38,2.44,1.33
g_0,0.73,0.75,1.37,0.83,0.71,0.82,1.08,1.12,0.85,0.81,1.0,1.49,1.07,1.04,1.32,0.79
