,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.91,1.33,1.45,1.28,1.4,0.63,0.63,0.72,0.51,0.52,0.65,0.67,0.64,1.5,0.58
f_1,1.31,0.41,1.2,1.53,1.41,1.34,0.47,0.56,0.87,0.52,0.52,0.85,0.38,0.48,0.49,0.57
d_1,1.59,1.35,0.39,1.06,1.19,1.13,0.77,1.53,0.57,0.7,0.66,0.49,0.55,0.52,0.58,0.35
c_1,1.14,1.15,1.64,0.39,1.52,1.24,0.8,0.36,0.73,1.13,0.54,0.56,0.51,0.6,0.55,0.4
b_1,1.41,1.38,1.18,0.94,0.37,1.42,0.8,0.69,0.57,0.56,1.06,0.59,0.43,0.64,0.58,0.54
a_1,1.26,1.24,1.45,1.46,0.8,0.31,0.9,0.69,0.7,0.71,0.76,0.65,0.67,1.44,0.57,0.57
h_1,0.92,1.3,0.87,0.9,0.97,0.9,0.26,0.38,0.52,0.4,0.47,0.39,0.57,0.41,0.33,0.36
d_0,0.62,0.99,1.36,1.17,1.03,0.92,0.65,0.28,0.48,0.49,0.47,0.51,0.34,0.41,0.42,0.46
g_1,1.01,0.9,1.01,0.91,1.12,0.88,0.47,0.47,0.23,0.42,0.45,0.48,0.31,0.44,0.4,0.84
c_0,1.13,1.03,0.55,1.66,1.01,1.02,0.55,0.47,0.58,0.26,0.48,0.45,0.32,0.4,0.45,0.36
b_0,0.9,1.08,0.85,1.07,1.73,0.93,0.47,0.41,0.52,0.28,0.26,0.38,0.35,0.53,0.41,0.38
f_0,0.97,2.17,1.06,0.78,0.98,0.91,0.48,0.41,0.36,0.38,0.43,0.25,0.29,0.47,0.69,0.26
h_0,0.9,1.08,0.87,0.86,1.09,0.78,0.74,0.45,0.52,0.45,0.39,0.49,0.56,0.38,0.39,0.42
a_0,0.86,1.25,1.11,0.92,0.92,1.39,0.44,0.49,0.47,0.45,0.25,0.35,0.38,0.21,0.37,0.43
e_0,1.02,1.07,0.82,1.04,0.96,1.01,0.56,0.44,0.59,0.41,0.47,0.23,0.34,0.43,0.21,0.41
g_0,0.8,1.11,1.09,1.08,0.88,0.98,0.43,0.37,,0.43,0.38,0.47,0.29,0.44,0.43,0.48
