,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.33,1.11,0.45,0.48,0.51,0.37,1.05,1.21,1.15,0.95,1.26,0.51,0.9,1.14,0.56,1.02
e_1,0.62,2.34,0.47,0.64,0.49,0.43,1.08,1.16,2.29,0.98,1.27,1.18,1.05,1.54,0.47,1.22
d_1,0.69,0.49,2.48,0.4,0.52,0.39,1.08,2.43,0.47,0.89,1.48,1.24,1.38,1.56,1.1,1.55
c_1,0.52,0.52,0.51,2.49,1.05,0.38,0.93,0.54,1.15,0.84,0.81,1.31,0.91,1.07,0.97,0.91
b_1,0.59,0.53,0.6,0.53,2.55,0.9,0.82,1.01,1.18,0.91,0.52,0.95,0.68,1.49,1.0,1.44
a_1,0.71,0.43,0.64,0.6,0.46,2.97,1.17,1.2,1.19,0.98,1.2,1.04,0.48,1.7,1.12,1.43
h_1,1.01,0.71,0.68,0.67,0.54,0.44,3.05,1.43,1.49,1.37,1.59,1.32,1.33,1.1,1.14,2.09
c_0,0.74,0.71,0.89,0.47,0.48,0.53,1.36,2.71,1.24,1.27,2.73,1.27,1.67,1.77,1.19,1.77
d_0,0.69,0.69,0.42,1.36,0.62,0.49,1.25,1.0,2.66,1.1,1.27,1.36,1.17,1.68,1.1,1.5
g_1,0.57,0.53,1.08,0.72,0.58,0.5,1.32,1.4,1.25,3.37,1.43,2.21,1.26,1.81,1.22,1.16
b_0,0.75,0.76,0.77,0.71,0.32,0.49,1.42,1.6,1.46,1.3,2.81,1.51,2.52,1.8,1.18,1.7
f_0,0.5,0.55,0.72,0.8,0.7,0.58,1.54,1.36,1.34,1.13,1.17,3.03,1.16,1.85,2.82,1.89
a_0,0.88,0.75,0.9,0.66,0.55,0.37,1.48,1.54,1.61,1.11,1.45,1.11,2.93,2.07,1.17,1.59
h_0,0.88,0.72,0.76,0.67,0.53,0.62,0.66,1.48,1.54,1.45,1.61,1.27,1.15,1.11,1.38,2.0
e_0,0.83,0.36,0.6,0.79,0.75,0.61,1.48,1.69,1.43,1.36,1.77,1.3,1.3,2.27,3.29,2.03
g_0,0.61,0.65,1.19,0.69,0.5,0.56,1.24,1.55,1.26,0.72,1.45,2.05,1.13,1.5,1.39,1.09
