,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10.45,0.78,0.54,1.07,0.7,0.52,1.04,0.82,2.38,0.82,1.05,0.88,0.93,1.18,0.63,1.01
f_1,1.76,9.99,0.66,0.68,0.57,0.64,0.96,0.81,0.93,0.86,0.88,0.57,0.9,0.89,0.6,0.89
d_1,0.63,0.72,13.16,0.5,0.57,0.81,0.92,1.28,0.53,2.95,1.45,1.08,1.03,0.96,1.31,1.01
c_1,0.52,0.66,0.67,12.65,2.09,0.71,0.83,0.86,0.82,0.43,0.51,1.03,1.01,0.84,0.98,0.88
b_1,0.6,0.76,0.78,0.6,12.97,1.98,0.87,0.73,0.84,0.89,0.66,0.95,0.97,0.75,0.91,0.9
a_1,0.73,0.8,0.79,0.65,0.5,20.1,1.04,0.98,0.88,0.99,1.12,1.03,1.12,0.65,1.24,0.87
h_1,0.7,1.3,1.0,0.7,0.72,0.65,3.31,1.24,0.75,0.94,1.07,1.01,0.68,0.87,0.89,1.55
g_1,0.58,0.66,1.62,0.78,0.7,0.69,1.0,3.56,0.87,1.13,1.4,1.92,0.96,1.08,1.36,1.12
d_0,0.72,0.71,0.51,2.34,0.96,0.59,1.14,1.04,1.97,0.42,0.69,1.14,1.06,1.08,1.09,1.06
c_0,0.86,0.87,0.93,0.68,0.5,0.66,1.03,1.25,1.06,2.11,3.44,1.25,1.18,1.69,1.16,1.2
b_0,0.78,0.91,0.91,0.89,0.58,0.54,1.24,1.31,1.11,0.96,2.31,1.08,1.2,2.95,1.03,1.18
f_0,0.55,0.52,1.01,1.04,0.96,0.72,0.9,1.17,1.06,0.97,1.15,3.06,1.75,1.06,3.77,1.31
h_0,0.66,1.15,0.98,0.87,0.71,0.63,0.76,1.55,0.9,1.05,0.94,1.12,0.83,1.19,1.03,1.84
a_0,0.74,1.09,0.84,0.94,0.66,0.43,1.36,1.14,0.95,0.94,1.09,0.99,1.19,3.16,0.97,1.0
e_0,0.46,0.57,1.02,1.06,0.9,0.82,1.07,1.15,1.14,1.21,1.22,1.38,1.4,0.98,3.37,1.34
g_0,0.59,0.53,2.03,0.79,0.77,0.66,0.94,0.93,0.7,1.1,0.93,2.21,1.12,0.95,1.84,0.89
