,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.11,1.11,1.2,1.64,3.18,17.78,22.25,37.4,31.52,40.77,50.42,71.96,91.59,96.88,93.76
e_1,0.89,1.0,0.8,1.51,1.66,3.54,24.16,34.07,30.5,43.65,43.36,56.18,70.08,105.09,107.81,123.59
f_1,0.91,1.24,1.0,1.13,1.24,3.03,15.83,23.98,21.74,24.71,32.05,46.98,49.42,81.61,81.68,93.46
c_1,0.83,0.66,0.88,1.0,1.79,2.56,16.96,24.9,21.27,17.06,19.48,34.44,53.76,90.74,73.01,97.95
b_1,0.61,0.61,0.81,0.56,1.0,3.05,9.77,16.38,18.15,19.18,23.65,33.25,42.66,66.88,48.8,61.05
a_1,0.32,0.28,0.33,0.39,0.33,1.0,5.84,8.12,8.72,8.93,13.06,17.9,23.07,25.61,48.75,32.28
h_1,0.05,0.04,0.06,0.06,0.1,0.17,1.0,1.94,1.52,1.43,1.79,2.64,3.35,6.29,5.54,6.4
g_1,0.05,0.03,0.04,0.04,0.06,0.12,0.53,1.0,0.92,0.82,1.2,2.09,1.83,3.35,3.81,3.79
c_0,0.03,0.03,0.04,0.05,0.05,0.11,0.66,1.13,1.0,1.2,1.79,1.68,2.65,3.53,4.18,3.82
d_0,0.03,0.02,0.04,0.06,0.06,0.1,0.69,1.29,0.81,1.0,1.08,1.75,2.39,3.53,3.7,3.93
b_0,0.03,0.02,0.03,0.05,0.04,0.08,0.54,0.82,0.54,0.94,1.0,1.3,1.84,2.54,5.0,2.76
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.39,0.49,0.57,0.61,0.74,1.0,1.42,1.51,1.98,2.99
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.3,0.54,0.38,0.42,0.55,0.68,1.0,1.79,1.13,1.64
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.15,0.31,0.27,0.28,0.36,0.65,0.55,1.0,1.09,1.24
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.17,0.27,0.24,0.28,0.22,0.49,0.9,0.9,1.0,1.08
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.25,0.26,0.26,0.35,0.35,0.63,0.79,1.0,1.0
