,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.21,0.98,1.02,1.03,0.88,0.81,1.03,0.94,0.82,0.93,0.85,0.86,0.78,1.08,0.79
e_1,0.83,1.0,0.98,1.06,1.0,0.98,1.22,1.06,1.45,1.06,1.13,1.25,1.11,1.03,1.1,1.07
d_1,1.03,1.02,1.0,0.96,0.91,1.02,0.97,0.78,0.93,1.37,1.15,1.0,0.96,1.07,0.84,1.12
c_1,0.98,0.95,1.04,1.0,1.36,0.93,0.94,0.89,0.71,0.85,0.8,0.91,0.94,0.97,0.96,0.84
b_1,0.97,1.0,1.09,0.74,1.0,1.36,1.08,1.14,1.04,0.98,0.82,1.11,0.95,1.08,1.03,1.14
a_1,1.14,1.02,0.97,1.07,0.73,1.0,1.23,1.14,0.99,1.04,1.0,0.95,1.37,1.31,1.01,1.05
h_1,1.24,0.85,1.01,1.07,0.94,0.84,1.0,1.23,1.0,0.99,0.95,0.92,0.88,1.05,1.14,1.02
g_1,0.96,0.99,1.28,1.1,0.87,0.86,0.8,1.0,0.76,0.92,0.95,1.1,0.8,0.81,1.07,0.89
d_0,0.99,0.72,1.14,1.44,1.02,0.96,0.96,1.28,1.0,0.85,0.96,0.93,1.0,1.07,0.95,0.93
c_0,1.2,0.98,0.71,1.07,0.96,0.97,0.95,1.14,1.25,1.0,1.58,1.13,1.16,1.09,1.06,1.06
b_0,1.07,0.88,0.86,1.25,1.25,0.88,1.08,1.03,1.07,0.66,1.0,0.88,1.51,1.18,1.12,1.01
f_0,1.1,0.84,0.99,1.08,0.94,1.05,1.1,0.86,1.06,0.87,1.11,1.0,1.01,1.06,0.84,1.77
a_0,1.15,0.91,0.98,1.03,1.13,0.89,1.13,1.17,1.0,0.81,0.77,0.98,1.0,0.99,0.98,0.77
h_0,1.31,0.98,0.98,1.03,0.96,0.73,0.94,1.28,0.93,0.91,0.85,0.94,0.98,1.0,1.1,1.0
g_0,0.99,0.94,1.15,1.0,0.95,0.95,0.89,0.95,1.01,0.92,0.9,1.21,1.07,0.91,1.0,0.98
e_0,1.21,0.99,0.94,1.17,0.9,0.87,0.93,1.12,0.98,0.89,1.0,0.55,1.26,1.04,1.0,1.0
