,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.28,0.89,1.08,0.98,0.74,0.54,0.67,0.56,0.84,0.66,,0.47,0.67,0.51,0.46
e_1,0.78,1.0,0.86,0.83,0.94,0.89,0.76,0.93,0.54,0.52,0.76,0.64,0.68,0.49,,0.72
d_1,1.12,1.17,1.0,0.82,1.2,0.67,0.78,,0.97,0.44,0.58,0.62,0.65,0.62,0.55,0.54
c_1,0.93,1.2,1.22,1.0,1.15,0.87,0.54,0.48,,0.7,0.64,0.71,0.7,0.7,0.69,0.58
b_1,1.02,1.07,0.83,0.87,1.0,1.23,0.82,0.81,0.71,0.6,,0.61,0.62,0.49,0.46,0.75
a_1,1.36,1.12,1.5,1.15,0.81,1.0,0.81,0.8,0.71,0.91,,0.86,0.66,,0.75,0.53
h_1,1.85,1.31,1.28,1.86,1.22,1.24,1.0,0.81,1.02,1.11,0.77,0.77,,0.71,0.62,0.95
d_0,1.5,1.07,,2.08,1.23,1.24,1.23,1.0,1.19,1.01,0.79,0.95,1.01,0.83,0.83,0.82
c_0,1.78,1.84,1.03,,1.41,1.41,0.98,0.84,1.0,1.02,1.22,0.96,0.96,0.84,0.71,0.83
g_1,1.2,1.94,2.25,1.43,1.67,1.1,0.9,0.99,0.98,1.0,1.13,1.07,0.72,0.74,0.69,
b_0,1.51,1.32,1.73,1.55,,,1.3,1.26,0.82,0.88,1.0,0.99,0.95,1.27,0.83,0.74
f_0,,1.57,1.62,1.4,1.63,1.17,1.31,1.06,1.04,0.93,1.01,1.0,0.99,,1.51,0.75
h_0,2.13,1.47,1.54,1.43,1.62,1.52,,0.99,1.04,1.39,1.05,1.01,,0.69,1.1,1.05
a_0,1.48,2.05,1.61,1.43,2.06,,1.42,1.2,1.19,1.35,0.79,,1.45,1.0,,
e_0,1.96,,1.8,1.46,2.2,1.34,1.62,1.21,1.4,1.46,1.2,0.66,0.91,,1.0,0.91
g_0,2.16,1.39,1.85,1.71,1.34,1.87,1.05,1.22,1.2,,1.35,1.33,0.95,,1.1,
