,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.41,2.23,1.52,1.8,1.72,1.54,2.82,3.65,3.19,3.18,3.56,2.83,3.73,3.16,2.86,4.41
e_1,1.61,2.44,1.42,2.0,1.62,1.7,3.46,5.43,3.21,3.4,3.7,4.19,4.71,3.94,3.65,4.82
d_1,1.92,1.7,2.56,1.32,1.5,1.7,3.18,3.0,3.08,5.37,4.27,3.75,4.98,4.45,4.03,4.07
c_1,1.62,1.51,1.73,2.63,2.57,1.69,3.25,3.07,3.2,2.68,3.22,3.57,4.61,3.48,3.62,4.44
b_1,1.55,1.65,1.87,1.47,2.82,2.95,3.4,3.25,3.31,3.24,2.78,3.89,4.22,3.31,3.52,4.43
a_1,1.8,1.65,1.77,1.77,1.43,3.32,3.35,3.66,3.45,3.72,4.41,4.49,4.96,3.96,4.73,5.04
h_1,2.02,1.66,1.88,1.62,1.71,1.61,4.27,3.61,4.29,3.64,3.75,3.56,4.1,3.79,4.14,5.39
d_0,1.73,1.42,1.39,2.63,2.17,1.6,3.29,4.44,3.14,2.82,3.45,4.14,4.66,3.82,4.13,4.91
g_1,1.59,1.6,2.3,1.69,1.76,1.6,2.86,3.4,4.72,3.74,4.16,5.22,4.59,4.2,4.53,4.2
c_0,1.89,1.63,1.79,1.57,1.65,1.71,3.58,3.89,4.0,4.64,6.03,4.32,4.98,5.01,4.35,5.17
b_0,1.9,1.77,1.8,1.89,1.57,1.13,3.75,3.88,3.53,3.31,4.93,4.05,4.95,6.58,4.05,4.56
f_0,1.72,1.45,2.09,1.78,1.92,1.67,3.38,3.3,3.38,3.89,4.08,5.16,5.48,4.23,6.36,4.89
h_0,2.14,1.59,1.78,1.64,1.77,1.76,3.0,3.43,3.83,3.75,3.99,3.91,4.38,3.92,4.1,5.04
a_0,1.93,1.64,1.82,1.83,1.9,1.23,3.57,3.74,3.46,3.83,3.68,4.2,5.04,5.53,4.08,4.13
e_0,1.96,1.55,1.94,1.64,1.93,1.66,3.45,3.46,3.52,3.59,4.45,3.72,4.75,3.91,5.56,5.54
g_0,1.64,1.52,2.29,1.6,1.77,1.73,3.21,3.2,3.54,3.81,4.13,5.33,4.63,4.53,3.84,4.68
